sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Lothlórien

     'Alas!",lothlorien alas,lothlorien alas
1,"I Fear we cannot stay here longer,' said Aragorn.",i fear we cannot stay here longer said aragorn,fear stay longer said aragorn
2,He looked towards the mountains and held up his sword.,he looked towards the mountains and held up his sword,looked towards mountains held sword
3,"`Farewell, Gandalf! '",farewell gandalf,farewell gandalf
4,he cried.,he cried,cried
5,"'Did I not say to you: _if you pass the doors of Moria, beware_?",did i not say to you if you pass the doors of moria beware,say pass doors moria beware
6,Alas that I spoke true!,alas that i spoke true,alas spoke true
7,What hope have we without you? ',what hope have we without you,hope without
8,He turned to the Company.,he turned to the company,turned company
9,"`We must do without hope,' he said.",we must do without hope he said,must without hope said
10,`At least we may yet be avenged.,at least we may yet be avenged,least may yet avenged
11,Let us gird ourselves and weep no more!,let us gird ourselves and weep no more,let us gird weep
12,Come!,come,come
13,"We have a long road, and much to do.'",we have a long road and much to do,long road much
14,They rose and looked about them.,they rose and looked about them,rose looked
15,"Northward the dale ran up into a glen of shadows between two great arms of the mountains, above which three white peaks were shining: Celebdil, Fanuidhol, Caradhras.",northward the dale ran up into a glen of shadows between two great arms of the mountains above which three white peaks were shining celebdil fanuidhol caradhras,northward dale ran glen shadows two great arms mountains three white peaks shining celebdil fanuidhol caradhras
16,the Mountains of Moria.,the mountains of moria,mountains moria
17,"At the head of the glen a torrent flowed like a white lace over an endless ladder of short falls, and a mist of foam hung in the air about the mountains' feet.",at the head of the glen a torrent flowed like a white lace over an endless ladder of short falls and a mist of foam hung in the air about the mountains feet,head glen torrent flowed like white lace endless ladder short falls mist foam hung air mountains feet
18,"`Yonder is the Dimrill Stair,' said Aragorn, pointing to the falls.",yonder is the dimrill stair said aragorn pointing to the falls,yonder dimrill stair said aragorn pointing falls
19,"'Down the deep-cloven way that climbs beside the torrent we should have come, if fortune had been kinder.'",down the deepcloven way that climbs beside the torrent we should have come if fortune had been kinder,deepcloven way climbs beside torrent come fortune kinder
20,"`Or Caradhras less cruel,' said Gimli.",or caradhras less cruel said gimli,caradhras less cruel said gimli
21,`There he stands smiling in the sun! ',there he stands smiling in the sun,stands smiling sun
22,He shook his fist at the furthest of the snow-capped peaks and turned away.,he shook his fist at the furthest of the snowcapped peaks and turned away,shook fist furthest snowcapped peaks turned away
23,"To the east the outflung arm of the mountains marched to a sudden end, and far lands could be descried beyond them, wide and vague.",to the east the outflung arm of the mountains marched to a sudden end and far lands could be descried beyond them wide and vague,east outflung arm mountains marched sudden end far lands could descried beyond wide vague
24,To the south the Misty Mountains receded endlessly as far as sight could reach.,to the south the misty mountains receded endlessly as far as sight could reach,south misty mountains receded endlessly far sight could reach
25,"Less than a mile away, and a little below them, for they still stood high up on the west side of the dale, there lay a mere.",less than a mile away and a little below them for they still stood high up on the west side of the dale there lay a mere,less mile away little still stood high west side dale lay mere
26,"It was long and oval, shaped like a great spear-head thrust deep into the northern glen; but its southern end was beyond the shadows under the sunlit sky.",it was long and oval shaped like a great spearhead thrust deep into the northern glen but its southern end was beyond the shadows under the sunlit sky,long oval shaped like great spearhead thrust deep northern glen southern end beyond shadows sunlit sky
27,Yet its waters were dark: a deep blue like clear evening sky seen from a lamp-lit room.,yet its waters were dark a deep blue like clear evening sky seen from a lamplit room,yet waters dark deep blue like clear evening sky seen lamplit room
28,Its face was still and unruffled.,its face was still and unruffled,face still unruffled
29,"About it lay a smooth sward, shelving down on all sides to its bare unbroken rim.",about it lay a smooth sward shelving down on all sides to its bare unbroken rim,lay smooth sward shelving sides bare unbroken rim
30,"`There lies the Mirrormere, deep Kheled-zâram! '",there lies the mirrormere deep kheledzaram,lies mirrormere deep kheledzaram
31,said Gimli sadly.,said gimli sadly,said gimli sadly
32,"`I remember that he said: ""May you have joy of the sight!",i remember that he said may you have joy of the sight,remember said may joy sight
33,"But we cannot linger there.""",but we cannot linger there,linger
34,Now long shall I journey ere I have joy again.,now long shall i journey ere i have joy again,long shall journey ere joy
35,"It is I that must hasten away, and he that must remain.'",it is i that must hasten away and he that must remain,must hasten away must remain
36,The Company now went down the road from the Gates.,the company now went down the road from the gates,company went road gates
37,"It was rough and broken, fading to a winding track between heather and whin that thrust amid the cracking stones.",it was rough and broken fading to a winding track between heather and whin that thrust amid the cracking stones,rough broken fading winding track heather whin thrust amid cracking stones
38,But still it could be seen that once long ago a great paved way had wound upwards from the lowlands of the Dwarf-kingdom.,but still it could be seen that once long ago a great paved way had wound upwards from the lowlands of the dwarfkingdom,still could seen long ago great paved way wound upwards lowlands dwarfkingdom
