sentence_id,sentence,cleaned_sentence,tokens
0,"_
            A Knife in the Dark

     As they prepared for sleep in the inn at Bree, darkness lay on Buckland; a mist strayed in the dells and along the river-bank.",a knife in the dark as they prepared for sleep in the inn at bree darkness lay on buckland a mist strayed in the dells and along the riverbank,knife dark prepared sleep inn bree darkness lay buckland mist strayed dells along riverbank
1,The house at Crickhollow stood silent.,the house at crickhollow stood silent,house crickhollow stood silent
2,Fatty Bolger opened the door cautiously and peered out.,fatty bolger opened the door cautiously and peered out,fatty bolger opened door cautiously peered
3,"A feeling of fear had been growing on him all day, and he was unable to rest or go to bed: there was a brooding threat in the breathless night-air.",a feeling of fear had been growing on him all day and he was unable to rest or go to bed there was a brooding threat in the breathless nightair,feeling fear growing day unable rest go bed brooding threat breathless nightair
4,"As he stared out into the gloom, a black shadow moved under the trees; the gate seemed to open of its own accord and close again without a sound.",as he stared out into the gloom a black shadow moved under the trees the gate seemed to open of its own accord and close again without a sound,stared gloom black shadow moved trees gate seemed open accord close without sound
5,Terror seized him.,terror seized him,terror seized
6,"He shrank back, and for a moment he stood trembling in the hall.",he shrank back and for a moment he stood trembling in the hall,shrank back moment stood trembling hall
7,Then he shut and locked the door.,then he shut and locked the door,shut locked door
8,The night deepened.,the night deepened,night deepened
9,There came the soft sound of horses led with stealth along the lane.,there came the soft sound of horses led with stealth along the lane,came soft sound horses led stealth along lane
10,"Outside the gate they stopped, and three black figures entered, like shades of night creeping across the ground.",outside the gate they stopped and three black figures entered like shades of night creeping across the ground,outside gate stopped three black figures entered like shades night creeping across ground
11,"One went to the door, one to the corner of the house on either side; and there they stood, as still as the shadows of stones, while night went slowly on.",one went to the door one to the corner of the house on either side and there they stood as still as the shadows of stones while night went slowly on,one went door one corner house either side stood still shadows stones night went slowly
12,The house and the quiet trees seemed to be waiting breathlessly.,the house and the quiet trees seemed to be waiting breathlessly,house quiet trees seemed waiting breathlessly
13,"There was a faint stir in the leaves, and a cock crowed far away.",there was a faint stir in the leaves and a cock crowed far away,faint stir leaves cock crowed far away
14,The cold hour before dawn was passing.,the cold hour before dawn was passing,cold hour dawn passing
15,The figure by the door moved.,the figure by the door moved,figure door moved
16,"In the dark without moon or stars a drawn blade gleamed, as if a chill light had been unsheathed.",in the dark without moon or stars a drawn blade gleamed as if a chill light had been unsheathed,dark without moon stars drawn blade gleamed chill light unsheathed
17,"There was a blow, soft but heavy, and the door shuddered.",there was a blow soft but heavy and the door shuddered,blow soft heavy door shuddered
18,"'Open, in the name of Mordor!'",open in the name of mordor,open name mordor
19,said a voice thin and menacing.,said a voice thin and menacing,said voice thin menacing
20,"At a second blow the door yielded and fell back, with timbers burst and lock broken.",at a second blow the door yielded and fell back with timbers burst and lock broken,second blow door yielded fell back timbers burst lock broken
21,The black figures passed swiftly in.,the black figures passed swiftly in,black figures passed swiftly
22,"At that moment, among the trees nearby, a horn rang out.",at that moment among the trees nearby a horn rang out,moment among trees nearby horn rang
23,It rent the night like fire on a hill-top.,it rent the night like fire on a hilltop,rent night like fire hilltop
24,AWAKE!,awake,awake
25,FEAR!,fear,fear
26,FIRE!,fire,fire
27,FOES!,foes,foes
28,AWAKE!,awake,awake
29,Fatty Bolger had not been idle.,fatty bolger had not been idle,fatty bolger idle
30,"As soon as he saw the dark shapes creep from the garden, he knew that he must run for it, or perish.",as soon as he saw the dark shapes creep from the garden he knew that he must run for it or perish,soon saw dark shapes creep garden knew must run perish
31,"And run he did, out of the back door, through the garden, and over the fields.",and run he did out of the back door through the garden and over the fields,run back door garden fields
32,"When he reached the nearest house, more than a mile away, he collapsed on the doorstep.",when he reached the nearest house more than a mile away he collapsed on the doorstep,reached nearest house mile away collapsed doorstep
33,"'No, no, no!'",no no no,
34,he was crying.,he was crying,crying
35,"'No, not me!",no not me,
36,I haven't got it!',i havent got it,havent got
37,It was some time before anyone could make out what he was babbling about.,it was some time before anyone could make out what he was babbling about,time anyone could make babbling
38,"At last they got the idea that enemies were in Buckland, some strange invasion from the Old Forest.",at last they got the idea that enemies were in buckland some strange invasion from the old forest,last got idea enemies buckland strange invasion old forest
39,And then they lost no more time.,and then they lost no more time,lost time
40,FEAR!,fear,fear
41,FIRE!,fire,fire
42,FOES!,foes,foes
43,"The Brandybucks were blowing the Horn-call of Buckland, that had not been sounded for a hundred years, not since the white wolves came in the Fell Winter, when the Brandywine was frozen over.",the brandybucks were blowing the horncall of buckland that had not been sounded for a hundred years not since the white wolves came in the fell winter when the brandywine was frozen over,brandybucks blowing horncall buckland sounded hundred years since white wolves came fell winter brandywine frozen
44,AWAKE!,awake,awake
45,AWAKE!,awake,awake
46,Far-away answering horns were heard.,faraway answering horns were heard,faraway answering horns heard
47,The alarm was spreading.,the alarm was spreading,alarm spreading
