sentence_id,sentence,cleaned_sentence,tokens
0,"Three Rings for the Elven-kings under the sky,
               Seven for the Dwarf-lords in their halls of stone,
            Nine for Mortal Men doomed to die,
              One for the Dark Lord on his dark throne
           In the Land of Mordor where the Shadows lie.",three rings for the elvenkings under the sky seven for the dwarflords in their halls of stone nine for mortal men doomed to die one for the dark lord on his dark throne in the land of mordor where the shadows lie,three rings elvenkings sky seven dwarflords halls stone nine mortal men doomed die one dark lord dark throne land mordor shadows lie
1,"One Ring to rule them all, One Ring to find them,
               One Ring to bring them all and in the darkness bind them
           In the Land of Mordor where the Shadows lie.",one ring to rule them all one ring to find them one ring to bring them all and in the darkness bind them in the land of mordor where the shadows lie,one ring rule one ring find one ring bring darkness bind land mordor shadows lie
2,"FOREWORD

This tale grew in the telling, until it became a history of the Great War of the Ring and included many glimpses of the yet more ancient history that preceded it.",foreword this tale grew in the telling until it became a history of the great war of the ring and included many glimpses of the yet more ancient history that preceded it,foreword tale grew telling became history great war ring included many glimpses yet ancient history preceded
3,"It was begun soon after _The Hobbit_ was written and before its publication in 1937; but I did not go on with this sequel, for I wished first to complete and set in order the mythology and legends of the Elder Days, which had then been taking shape for some years.",it was begun soon after the hobbit was written and before its publication in but i did not go on with this sequel for i wished first to complete and set in order the mythology and legends of the elder days which had then been taking shape for some years,begun soon hobbit written publication go sequel wished first complete set order mythology legends elder days taking shape years
4,"I desired to do this for my own satisfaction, and I had little hope that other people would be interested in this work, especially since it was primarily linguistic in inspiration and was begun in order to provide the necessary background of 'history' for Elvish tongues.",i desired to do this for my own satisfaction and i had little hope that other people would be interested in this work especially since it was primarily linguistic in inspiration and was begun in order to provide the necessary background of history for elvish tongues,desired satisfaction little hope people would interested work especially since primarily linguistic inspiration begun order provide necessary background history elvish tongues
5,"When those whose advice and opinion I sought corrected _little hope_ to _no hope,_ I went back to the sequel, encouraged by requests from readers for more information concerning hobbits and their adventures.",when those whose advice and opinion i sought corrected little hope to no hope i went back to the sequel encouraged by requests from readers for more information concerning hobbits and their adventures,whose advice opinion sought corrected little hope hope went back sequel encouraged requests readers information concerning hobbits adventures
6,"But the story was drawn irresistibly towards the older world, and became an account, as it were, of its end and passing away before its beginning and middle had been told.",but the story was drawn irresistibly towards the older world and became an account as it were of its end and passing away before its beginning and middle had been told,story drawn irresistibly towards older world became account end passing away beginning middle told
7,"The process had begun in the writing of _The Hobbit,_ in which there were already some references to the older matter: Elrond, Gondolin, the High-elves, and the orcs, as well as glimpses that had arisen unbidden of things higher or deeper or darker than its surface: Durin, Moria, Gandalf, the Necromancer, the Ring.",the process had begun in the writing of the hobbit in which there were already some references to the older matter elrond gondolin the highelves and the orcs as well as glimpses that had arisen unbidden of things higher or deeper or darker than its surface durin moria gandalf the necromancer the ring,process begun writing hobbit already references older matter elrond gondolin highelves orcs well glimpses arisen unbidden things higher deeper darker surface durin moria gandalf necromancer ring
8,The discovery of the significance of these glimpses and of their relation to the ancient histories revealed the Third Age and its culmination in the War of the Ring.,the discovery of the significance of these glimpses and of their relation to the ancient histories revealed the third age and its culmination in the war of the ring,discovery significance glimpses relation ancient histories revealed third age culmination war ring
9,"Those who had asked for more information about hobbits eventually got it, but they had to wait a long time; for the composition of _The Lord of the Rings_ went on at intervals during the years 1936 to 1949, a period in which I had many duties that I did not neglect, and many other interests as a learner and teacher that often absorbed me.",those who had asked for more information about hobbits eventually got it but they had to wait a long time for the composition of the lord of the rings went on at intervals during the years to a period in which i had many duties that i did not neglect and many other interests as a learner and teacher that often absorbed me,asked information hobbits eventually got wait long time composition lord rings went intervals years period many duties neglect many interests learner teacher often absorbed
10,"The delay was, of course, also increased by the outbreak of war in 1939, by the end of which year the tale had not yet reached the end of Book One.",the delay was of course also increased by the outbreak of war in by the end of which year the tale had not yet reached the end of book one,delay course also increased outbreak war end year tale yet reached end book one
11,"In spite of the darkness of the next five years I found that the story could not now be wholly abandoned, and I plodded on, mostly by night, till I stood by Balin's tomb in Moria.",in spite of the darkness of the next five years i found that the story could not now be wholly abandoned and i plodded on mostly by night till i stood by balins tomb in moria,spite darkness next five years found story could wholly abandoned plodded mostly night till stood balins tomb moria
12,There I halted for a long while.,there i halted for a long while,halted long
13,It was almost a year later when I went on and so came to Lothlórien and the Great River late in 1941.,it was almost a year later when i went on and so came to lothlorien and the great river late in,almost year later went came lothlorien great river late
14,"In the next year I wrote the first drafts of the matter that now stands as Book Three, and the beginnings of chapters I and III of Book Five; and there as the beacons flared in Anórien and Théoden came to Harrowdale I stopped.",in the next year i wrote the first drafts of the matter that now stands as book three and the beginnings of chapters i and iii of book five and there as the beacons flared in anorien and theoden came to harrowdale i stopped,next year wrote first drafts matter stands book three beginnings chapters iii book five beacons flared anorien theoden came harrowdale stopped
15,Foresight had failed and there was no time for thought.,foresight had failed and there was no time for thought,foresight failed time thought
16,"It was during 1944 that, leaving the loose ends and perplexities of a war which it was my task to conduct, or at least to report, 1 forced myself to tackle the journey of Frodo to Mordor.",it was during that leaving the loose ends and perplexities of a war which it was my task to conduct or at least to report forced myself to tackle the journey of frodo to mordor,leaving loose ends perplexities war task conduct least report forced tackle journey frodo mordor
17,"These chapters, eventually to become Book Four, were written and sent out as a serial to my son, Christopher, then in South Africa with the RAF.",these chapters eventually to become book four were written and sent out as a serial to my son christopher then in south africa with the raf,chapters eventually become book four written sent serial son christopher south africa raf
18,"Nonetheless it took another five years before the tale was brought to its present end; in that time I changed my house, my chair, and my college, and the days though less dark were no less laborious.",nonetheless it took another five years before the tale was brought to its present end in that time i changed my house my chair and my college and the days though less dark were no less laborious,nonetheless took another five years tale brought present end time changed house chair college days though less dark less laborious
19,"Then when the 'end' had at last been reached the whole story had to be revised, and indeed largely re-written backwards.",then when the end had at last been reached the whole story had to be revised and indeed largely rewritten backwards,end last reached whole story revised indeed largely rewritten backwards
20,"And it had to be typed, and re-typed: by me; the cost of professional typing by the ten-fingered was beyond my means.",and it had to be typed and retyped by me the cost of professional typing by the tenfingered was beyond my means,typed retyped cost professional typing tenfingered beyond means
21,_The Lord of the Rings_ has been read by many people since it finally appeared in print; and I should like to say something here with reference to the many opinions or guesses that I have received or have read concerning the motives and meaning of the tale.,the lord of the rings has been read by many people since it finally appeared in print and i should like to say something here with reference to the many opinions or guesses that i have received or have read concerning the motives and meaning of the tale,lord rings read many people since finally appeared print like say something reference many opinions guesses received read concerning motives meaning tale
22,"The prime motive was the desire of a tale-teller to try his hand at a really long story that would hold the attention of readers, amuse them, delight them, and at times maybe excite them or deeply move them.",the prime motive was the desire of a taleteller to try his hand at a really long story that would hold the attention of readers amuse them delight them and at times maybe excite them or deeply move them,prime motive desire taleteller try hand really long story would hold attention readers amuse delight times maybe excite deeply move
23,"As a guide I had only my own feelings for what is appealing or moving, and for many the guide was inevitably often at fault.",as a guide i had only my own feelings for what is appealing or moving and for many the guide was inevitably often at fault,guide feelings appealing moving many guide inevitably often fault
24,"Some who have read the book, or at any rate have reviewed it, have found it boring, absurd, or contemptible; and I have no cause to complain, since I have similar opinions of their works, or of the kinds of writing that they evidently prefer.",some who have read the book or at any rate have reviewed it have found it boring absurd or contemptible and i have no cause to complain since i have similar opinions of their works or of the kinds of writing that they evidently prefer,read book rate reviewed found boring absurd contemptible cause complain since similar opinions works kinds writing evidently prefer
25,But even from the points of view of many who have enjoyed my story there is much that fails to please.,but even from the points of view of many who have enjoyed my story there is much that fails to please,even points view many enjoyed story much fails please
26,"It is perhaps not possible in a long tale to please everybody at all points, nor to displease everybody at the same points; for I find from the letters that I have received that the passages or chapters that are to some a blemish are all by others specially approved.",it is perhaps not possible in a long tale to please everybody at all points nor to displease everybody at the same points for i find from the letters that i have received that the passages or chapters that are to some a blemish are all by others specially approved,perhaps possible long tale please everybody points displease everybody points find letters received passages chapters blemish others specially approved
27,"The most critical reader of all, myself, now finds many defects, minor and major, but being fortunately under no obligation either to review the book or to write it again, he will pass over these in silence, except one that has been noted by others: the book is too short.",the most critical reader of all myself now finds many defects minor and major but being fortunately under no obligation either to review the book or to write it again he will pass over these in silence except one that has been noted by others the book is too short,critical reader finds many defects minor major fortunately obligation either review book write pass silence except one noted others book short
28,"As for any inner meaning or 'message', it has in the intention of the author none.",as for any inner meaning or message it has in the intention of the author none,inner meaning message intention author none
29,It is neither allegorical nor topical.,it is neither allegorical nor topical,neither allegorical topical
