sentence_id,sentence,cleaned_sentence,tokens
0,"_
            In the House of Tom Bombadil

     The four hobbits stepped over the wide stone threshold, and stood still, blinking.",in the house of tom bombadil the four hobbits stepped over the wide stone threshold and stood still blinking,house tom bombadil four hobbits stepped wide stone threshold stood still blinking
1,"They were in a long low room, filled with the light of lamps swinging from the beams of the roof; and on the table of dark polished wood stood many candles, tall and yellow, burning brightly.",they were in a long low room filled with the light of lamps swinging from the beams of the roof and on the table of dark polished wood stood many candles tall and yellow burning brightly,long low room filled light lamps swinging beams roof table dark polished wood stood many candles tall yellow burning brightly
2,"In a chair, at the far side of the room facing the outer door, sat a woman.",in a chair at the far side of the room facing the outer door sat a woman,chair far side room facing outer door sat woman
3,"Her long yellow hair rippled down her shoulders; her gown was green, green as young reeds, shot with silver like beads of dew; and her belt was of gold, shaped like a chain of flag-lilies set with the pale-blue eyes of forget-me-nots.",her long yellow hair rippled down her shoulders her gown was green green as young reeds shot with silver like beads of dew and her belt was of gold shaped like a chain of flaglilies set with the paleblue eyes of forgetmenots,long yellow hair rippled shoulders gown green green young reeds shot silver like beads dew belt gold shaped like chain flaglilies set paleblue eyes forgetmenots
4,"About her feel in wide vessels of green and brown earthenware, white water-lilies were floating, so that she seemed to be enthroned in the midst of a pool.",about her feel in wide vessels of green and brown earthenware white waterlilies were floating so that she seemed to be enthroned in the midst of a pool,feel wide vessels green brown earthenware white waterlilies floating seemed enthroned midst pool
5,"'Enter, good guests!'",enter good guests,enter good guests
6,"she said, and as she spoke they knew that it was her clear voice they had heard singing.",she said and as she spoke they knew that it was her clear voice they had heard singing,said spoke knew clear voice heard singing
7,"They came a few timid steps further into the room, and began to bow low, feeling strangely surprised and awkward, like folk that, knocking at a cottage door to beg for a drink of water, have been answered by a fair young elf-queen clad in living flowers.",they came a few timid steps further into the room and began to bow low feeling strangely surprised and awkward like folk that knocking at a cottage door to beg for a drink of water have been answered by a fair young elfqueen clad in living flowers,came timid steps room began bow low feeling strangely surprised awkward like folk knocking cottage door beg drink water answered fair young elfqueen clad living flowers
8,"But before they could say anything, she sprang lightly up and over the lily-bowls, and ran laughing towards them; and as she ran her gown rustled softly like the wind in the flowering borders of a river.",but before they could say anything she sprang lightly up and over the lilybowls and ran laughing towards them and as she ran her gown rustled softly like the wind in the flowering borders of a river,could say anything sprang lightly lilybowls ran laughing towards ran gown rustled softly like wind flowering borders river
9,'Come dear folk!',come dear folk,come dear folk
10,"she said, taking Frodo by the hand.",she said taking frodo by the hand,said taking frodo hand
11,'Laugh and be merry!,laugh and be merry,laugh merry
12,"I am Goldberry, daughter of the River.'",i am goldberry daughter of the river,goldberry daughter river
13,"Then lightly she passed them and closing the door she turned her back to it, with her white arms spread out across it.",then lightly she passed them and closing the door she turned her back to it with her white arms spread out across it,lightly passed closing door turned back white arms spread across
14,'Let us shut out the night!',let us shut out the night,let us shut night
15,she said.,she said,said
16,"'For you are still afraid, perhaps, of mist and tree-shadows and deep water, and untame things.",for you are still afraid perhaps of mist and treeshadows and deep water and untame things,still afraid perhaps mist treeshadows deep water untame things
17,Fear nothing!,fear nothing,fear nothing
18,For tonight you are under the roof of Tom Bombadil.',for tonight you are under the roof of tom bombadil,tonight roof tom bombadil
19,The hobbits looked at her in wonder; and she looked at each of them and smiled.,the hobbits looked at her in wonder and she looked at each of them and smiled,hobbits looked wonder looked smiled
20,'Fair lady Goldberry!',fair lady goldberry,fair lady goldberry
