sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Flight to the Ford

     When Frodo came to himself he was still clutching the Ring desperately.",flight to the ford when frodo came to himself he was still clutching the ring desperately,flight ford frodo came still clutching ring desperately
1,"He was lying by the fire, which was now piled high and burning brightly.",he was lying by the fire which was now piled high and burning brightly,lying fire piled high burning brightly
2,His three companions were bending over him.,his three companions were bending over him,three companions bending
3,'What has happened?,what has happened,happened
4,Where is the pale king?',where is the pale king,pale king
5,he asked wildly.,he asked wildly,asked wildly
6,They were too overjoyed to hear him speak to answer for a while; nor did they understand his question.,they were too overjoyed to hear him speak to answer for a while nor did they understand his question,overjoyed hear speak answer understand question
7,At length he gathered from Sam that they had seen nothing but the vague shadowy shapes coming towards them.,at length he gathered from sam that they had seen nothing but the vague shadowy shapes coming towards them,length gathered sam seen nothing vague shadowy shapes coming towards
8,"Suddenly to his horror Sam found that his master had vanished; and at that moment a black shadow rushed past him, and he fell.",suddenly to his horror sam found that his master had vanished and at that moment a black shadow rushed past him and he fell,suddenly horror sam found master vanished moment black shadow rushed past fell
9,"He heard Frodo's voice, but it seemed to come from a great distance, or from under the earth, crying out strange words.",he heard frodos voice but it seemed to come from a great distance or from under the earth crying out strange words,heard frodos voice seemed come great distance earth crying strange words
10,"They saw nothing more, until they stumbled over the body of Frodo, lying as if dead, face downwards on the grass with his sword beneath him.",they saw nothing more until they stumbled over the body of frodo lying as if dead face downwards on the grass with his sword beneath him,saw nothing stumbled body frodo lying dead face downwards grass sword beneath
11,"Strider ordered them to pick him up and lay him near the fire, and then he disappeared.",strider ordered them to pick him up and lay him near the fire and then he disappeared,strider ordered pick lay near fire disappeared
12,That was now a good while ago.,that was now a good while ago,good ago
13,"Sam plainly was beginning to have doubts again about Strider; but while they were talking he returned, appearing suddenly out of the shadows.",sam plainly was beginning to have doubts again about strider but while they were talking he returned appearing suddenly out of the shadows,sam plainly beginning doubts strider talking returned appearing suddenly shadows
14,"They started, and Sam drew his sword and stood over Frodo; but Strider knelt down swiftly at his side.",they started and sam drew his sword and stood over frodo but strider knelt down swiftly at his side,started sam drew sword stood frodo strider knelt swiftly side
15,"'I am not a Black Rider, Sam,' he said gently, 'nor in league with them.",i am not a black rider sam he said gently nor in league with them,black rider sam said gently league
16,I have been trying to discover something of their movements; but I have found nothing.,i have been trying to discover something of their movements but i have found nothing,trying discover something movements found nothing
17,I cannot think why they have gone and do not attack again.,i cannot think why they have gone and do not attack again,think gone attack
18,But there is no feeling of their presence anywhere at hand.',but there is no feeling of their presence anywhere at hand,feeling presence anywhere hand
19,"When he heard what Frodo had to tell, he became full of concern, and shook his head and sighed.",when he heard what frodo had to tell he became full of concern and shook his head and sighed,heard frodo tell became full concern shook head sighed
20,"Then he ordered Pippin and Merry to heat as much water as they could in their small kettles, and to bathe the wound with it.",then he ordered pippin and merry to heat as much water as they could in their small kettles and to bathe the wound with it,ordered pippin merry heat much water could small kettles bathe wound
21,"'Keep the fire going well, and keep Frodo warm!'",keep the fire going well and keep frodo warm,keep fire going well keep frodo warm
22,he said.,he said,said
23,"Then he got up and walked away, and called Sam to him.",then he got up and walked away and called sam to him,got walked away called sam
