sentence_id,sentence,cleaned_sentence,tokens
0,"_
            Many Meetings

     Frodo woke and found himself lying in bed.",many meetings frodo woke and found himself lying in bed,many meetings frodo woke found lying bed
1,"At first he thought that he had slept late, after a long unpleasant dream that still hovered on the edge of memory.",at first he thought that he had slept late after a long unpleasant dream that still hovered on the edge of memory,first thought slept late long unpleasant dream still hovered edge memory
2,Or perhaps he had been ill?,or perhaps he had been ill,perhaps ill
3,"But the ceiling looked strange; it was flat, and it had dark beams richly carved.",but the ceiling looked strange it was flat and it had dark beams richly carved,ceiling looked strange flat dark beams richly carved
4,"He lay a little while longer looking at patches of sunlight on the wall, and listening to the sound of a waterfall.",he lay a little while longer looking at patches of sunlight on the wall and listening to the sound of a waterfall,lay little longer looking patches sunlight wall listening sound waterfall
5,"`Where am I, and what is the time?'",where am i and what is the time,time
6,he said aloud to the ceiling.,he said aloud to the ceiling,said aloud ceiling
7,"'In the House of Elrond, and it is ten o'clock in the morning.'",in the house of elrond and it is ten oclock in the morning,house elrond ten oclock morning
8,said a voice.,said a voice,said voice
9,"`It is the morning of October the twenty-fourth, if you want to know.'",it is the morning of october the twentyfourth if you want to know,morning october twentyfourth want know
10,`Gandalf!',gandalf,gandalf
11,"cried Frodo, sitting up.",cried frodo sitting up,cried frodo sitting
12,"There was the old wizard, sitting in a chair by the open window.",there was the old wizard sitting in a chair by the open window,old wizard sitting chair open window
13,"`Yes,' he said, `I am here.",yes he said i am here,yes said
14,"And you are lucky to be here, too, after all the absurd things you have done since you left home.'",and you are lucky to be here too after all the absurd things you have done since you left home,lucky absurd things done since left home
15,Frodo lay down again.,frodo lay down again,frodo lay
16,"He felt too comfortable and peaceful to argue, and in any case he did not think he would get the better of an argument.",he felt too comfortable and peaceful to argue and in any case he did not think he would get the better of an argument,felt comfortable peaceful argue case think would get better argument
17,"He was fully awake now, and the memory of his journey was returning: the disastrous `short cut' through the Old Forest the `accident' at _The Prancing Pony_; and his madness in putting on the Ring in the dell under Weathertop.",he was fully awake now and the memory of his journey was returning the disastrous short cut through the old forest the accident at the prancing pony and his madness in putting on the ring in the dell under weathertop,fully awake memory journey returning disastrous short cut old forest accident prancing pony madness putting ring dell weathertop
18,"While he was thinking of all these things and trying in vain to bring his memory down to his arriving in Rivendell, there was a long silence, broken only by the soft puffs of Gandalf's pipe, as he blew white smoke-rings out of the window.",while he was thinking of all these things and trying in vain to bring his memory down to his arriving in rivendell there was a long silence broken only by the soft puffs of gandalfs pipe as he blew white smokerings out of the window,thinking things trying vain bring memory arriving rivendell long silence broken soft puffs gandalfs pipe blew white smokerings window
19,'Where's Sam?',wheres sam,wheres sam
20,Frodo asked at length.,frodo asked at length,frodo asked length
21,'And are the others all right?',and are the others all right,others right
22,"'Yes, they are all safe and sound,' answered Gandalf.",yes they are all safe and sound answered gandalf,yes safe sound answered gandalf
23,"`Sam was here until I sent him off to get some rest, about half an hour ago.'",sam was here until i sent him off to get some rest about half an hour ago,sam sent get rest half hour ago
24,`What happened at the Ford?',what happened at the ford,happened ford
25,said Frodo.,said frodo,said frodo
26,`It all seemed so dim somehow; and it still does.',it all seemed so dim somehow and it still does,seemed dim somehow still
27,"'Yes, it would.",yes it would,yes would
28,"You were beginning to fade,' answered Gandalf.",you were beginning to fade answered gandalf,beginning fade answered gandalf
29,'The wound was overcoming you at last.,the wound was overcoming you at last,wound overcoming last
30,A few more hours and you would have been beyond our aid.,a few more hours and you would have been beyond our aid,hours would beyond aid
31,"But you have some strength in you, my dear hobbit!",but you have some strength in you my dear hobbit,strength dear hobbit
32,As you showed in the Barrow.,as you showed in the barrow,showed barrow
33,That was touch and go: perhaps the most dangerous moment of all.,that was touch and go perhaps the most dangerous moment of all,touch go perhaps dangerous moment
34,I wish you could have held out at Weathertop.',i wish you could have held out at weathertop,wish could held weathertop
35,"'You seem to know a great deal already,' said Frodo.",you seem to know a great deal already said frodo,seem know great deal already said frodo
36,`I have not spoken to the others about the Barrow.,i have not spoken to the others about the barrow,spoken others barrow
37,At first it was too horrible; and afterwards there were other things to think about.,at first it was too horrible and afterwards there were other things to think about,first horrible afterwards things think
38,How do you know about it?',how do you know about it,know
39,"'You have talked long in your sleep, Frodo,' said Gandalf gently, 'and it has not been hard for me to read your mind and memory.",you have talked long in your sleep frodo said gandalf gently and it has not been hard for me to read your mind and memory,talked long sleep frodo said gandalf gently hard read mind memory
40,Do not worry!,do not worry,worry
41,"Though I said ""absurd"" just now, I did not mean it.",though i said absurd just now i did not mean it,though said absurd mean
42,I think well of you-and of the others.,i think well of youand of the others,think well youand others
43,"It is no small feat to have come so far, and through such dangers, still bearing the Ring.'",it is no small feat to have come so far and through such dangers still bearing the ring,small feat come far dangers still bearing ring
44,"'We should never have done it without Strider,' said Frodo.",we should never have done it without strider said frodo,never done without strider said frodo
45,`But we needed you.,but we needed you,needed
46,I did not know what to do without you.',i did not know what to do without you,know without
47,"'I was delayed,' said Gandalf, `and that nearly proved our ruin.",i was delayed said gandalf and that nearly proved our ruin,delayed said gandalf nearly proved ruin
48,And yet I am not sure; it may have been better so.',and yet i am not sure it may have been better so,yet sure may better
49,'I wish you would tell me what happened!',i wish you would tell me what happened,wish would tell happened
50,'All in good time!,all in good time,good time
51,"You are not supposed to talk or worry about anything today, by Elrond's orders.'",you are not supposed to talk or worry about anything today by elronds orders,supposed talk worry anything today elronds orders
52,"`But talking would stop me thinking and wondering, which are quite as tiring,' said Frodo.",but talking would stop me thinking and wondering which are quite as tiring said frodo,talking would stop thinking wondering quite tiring said frodo
53,"'I am wide awake now, and I remember so many things that want explaining.",i am wide awake now and i remember so many things that want explaining,wide awake remember many things want explaining
54,Why were you delayed?,why were you delayed,delayed
55,You ought to tell me that at least.',you ought to tell me that at least,ought tell least
56,"'You will soon hear all you wish to know,' said Gandalf.",you will soon hear all you wish to know said gandalf,soon hear wish know said gandalf
57,"'We shall have a Council, as soon as you are well enough.",we shall have a council as soon as you are well enough,shall council soon well enough
58,At the moment I will only say that I was held captive.',at the moment i will only say that i was held captive,moment say held captive
59,'You?',you,
60,cried Frodo.,cried frodo,cried frodo
61,"'Yes, I, Gandalf the Grey,' said the wizard solemnly.",yes i gandalf the grey said the wizard solemnly,yes gandalf grey said wizard solemnly
62,"'There are many powers in the world, for good or for evil.",there are many powers in the world for good or for evil,many powers world good evil
63,Some are greater than I am.,some are greater than i am,greater
64,Against some I have not yet been measured.,against some i have not yet been measured,yet measured
65,But my time is coming.,but my time is coming,time coming
66,The Morgul-lord and his Black Riders have come forth.,the morgullord and his black riders have come forth,morgullord black riders come forth
67,War is preparing!',war is preparing,war preparing
68,`Then you knew of the Riders already-before I met them?',then you knew of the riders alreadybefore i met them,knew riders alreadybefore met
69,"'Yes, I knew of them.",yes i knew of them,yes knew
70,"Indeed I spoke of them once to you; for the Black Riders are the Ringwraiths, the Nine Servants of the Lord of the Rings.",indeed i spoke of them once to you for the black riders are the ringwraiths the nine servants of the lord of the rings,indeed spoke black riders ringwraiths nine servants lord rings
71,But I did not know that they had arisen again or I should have fled with you at once.,but i did not know that they had arisen again or i should have fled with you at once,know arisen fled
72,I heard news of them only after I left you in June; but that story must wait.,i heard news of them only after i left you in june but that story must wait,heard news left june story must wait
73,"For the moment we have been saved from disaster, by Aragorn.'",for the moment we have been saved from disaster by aragorn,moment saved disaster aragorn
74,"'Yes,' said Frodo, `it was Strider that saved us.",yes said frodo it was strider that saved us,yes said frodo strider saved us
75,Yet I was afraid of him at first.,yet i was afraid of him at first,yet afraid first
76,Sam never quite trusted him.,sam never quite trusted him,sam never quite trusted
77,"I think, not at any rate until we met Glorfindel.'",i think not at any rate until we met glorfindel,think rate met glorfindel
78,Gandalf smiled.,gandalf smiled,gandalf smiled
79,"`I have heard all about Sam,' he said.",i have heard all about sam he said,heard sam said
80,'He has no more doubts now.',he has no more doubts now,doubts
81,"'I am glad,' said Frodo.",i am glad said frodo,glad said frodo
82,'For I have become very fond of Strider.,for i have become very fond of strider,become fond strider
83,"Well, _fond_ is not the right word.",well fond is not the right word,well fond right word
84,"I mean he is dear to me; though he is strange, and grim at times.",i mean he is dear to me though he is strange and grim at times,mean dear though strange grim times
85,"In fact, he reminds me often of you.",in fact he reminds me often of you,fact reminds often
86,I didn't know that any of the Big People were like that.,i didnt know that any of the big people were like that,didnt know big people like
87,"I thought, well, that they were just big, and rather stupid: kind and stupid like Butterbur; or stupid and wicked like Bill Ferny.",i thought well that they were just big and rather stupid kind and stupid like butterbur or stupid and wicked like bill ferny,thought well big rather stupid kind stupid like butterbur stupid wicked like bill ferny
88,"But then we don't know much about Men in the Shire, except perhaps the Breelanders.'",but then we dont know much about men in the shire except perhaps the breelanders,dont know much men shire except perhaps breelanders
89,"`You don't know much even about them, if you think old Barliman is stupid,' said Gandalf.",you dont know much even about them if you think old barliman is stupid said gandalf,dont know much even think old barliman stupid said gandalf
90,'He is wise enough on his own ground.,he is wise enough on his own ground,wise enough ground
91,"He thinks less than he talks, and slower; yet he can see through a brick wall in time (as they say in Bree).",he thinks less than he talks and slower yet he can see through a brick wall in time as they say in bree,thinks less talks slower yet see brick wall time say bree
92,But there are few left in Middle-earth like Aragorn son of Arathorn.,but there are few left in middleearth like aragorn son of arathorn,left middleearth like aragorn son arathorn
93,The race of the Kings from over the Sea is nearly at an end.,the race of the kings from over the sea is nearly at an end,race kings sea nearly end
94,It may be that this War of the Ring will be their last adventure.',it may be that this war of the ring will be their last adventure,may war ring last adventure
95,'Do you really mean that Strider is one of the people of the old Kings?',do you really mean that strider is one of the people of the old kings,really mean strider one people old kings
96,said Frodo in wonder.,said frodo in wonder,said frodo wonder
97,`I thought they had all vanished long ago.,i thought they had all vanished long ago,thought vanished long ago
98,I thought he was only a Ranger.',i thought he was only a ranger,thought ranger
99,'Only a Ranger!',only a ranger,ranger
100,cried Gandalf.,cried gandalf,cried gandalf
101,"`My dear Frodo, that is just what the Rangers are: the last remnant in the North of the great people, the Men of the West.",my dear frodo that is just what the rangers are the last remnant in the north of the great people the men of the west,dear frodo rangers last remnant north great people men west
102,"They have helped me before; and I shall need their help in the days to come; for we have reached Rivendell, but the Ring is not yet at rest.'",they have helped me before and i shall need their help in the days to come for we have reached rivendell but the ring is not yet at rest,helped shall need help days come reached rivendell ring yet rest
103,"'I suppose not,' said Frodo.",i suppose not said frodo,suppose said frodo
104,'But so far my only thought has been to get here; and I hope I shan't have to go any further.,but so far my only thought has been to get here and i hope i shant have to go any further,far thought get hope shant go
105,It is very pleasant just to rest.,it is very pleasant just to rest,pleasant rest
106,"I have had a month of exile and adventure, and I find that has been as much as I want.'",i have had a month of exile and adventure and i find that has been as much as i want,month exile adventure find much want
107,He fell silent and shut his eyes.,he fell silent and shut his eyes,fell silent shut eyes
108,After a while he spoke again.,after a while he spoke again,spoke
109,"'I have been reckoning,' he said, `and I can't bring the total up to October the twenty-fourth.",i have been reckoning he said and i cant bring the total up to october the twentyfourth,reckoning said cant bring total october twentyfourth
110,It ought to be the twenty-first.,it ought to be the twentyfirst,ought twentyfirst
111,We must have reached the Ford by the twentieth.',we must have reached the ford by the twentieth,must reached ford twentieth
112,"'You have talked and reckoned more than is good for you,' said Gandalf.",you have talked and reckoned more than is good for you said gandalf,talked reckoned good said gandalf
113,`How do the side and shoulder feel now?',how do the side and shoulder feel now,side shoulder feel
114,'I don't know.',i dont know,dont know
115,Frodo answered.,frodo answered,frodo answered
116,"'They don't feel at all: which is an improvement, but'-he made an effort-'I can move my arm again a little.",they dont feel at all which is an improvement buthe made an efforti can move my arm again a little,dont feel improvement buthe made efforti move arm little
117,"Yes, it is coming back to life.",yes it is coming back to life,yes coming back life
118,"It is not cold,' he added, touching his left hand with his right.",it is not cold he added touching his left hand with his right,cold added touching left hand right
119,`Good!',good,good
120,said Gandalf.,said gandalf,said gandalf
121,`It is mending fast.,it is mending fast,mending fast
122,You will soon be sound again.,you will soon be sound again,soon sound
123,"Elrond has cured you: he has tended you for days, ever since you were brought in.'",elrond has cured you he has tended you for days ever since you were brought in,elrond cured tended days ever since brought
124,'Days?',days,days
125,said Frodo.,said frodo,said frodo
126,"`Well, four nights and three days, to be exact.",well four nights and three days to be exact,well four nights three days exact
127,The Elves brought you from this where you lost count.,the elves brought you from this where you lost count,elves brought lost count
128,"We have been terribly anxious, and Sam has hardly left your side, day or night, except to run messages.",we have been terribly anxious and sam has hardly left your side day or night except to run messages,terribly anxious sam hardly left side day night except run messages
129,"Elrond is a master of healing, but the weapons of our Enemy are deadly.",elrond is a master of healing but the weapons of our enemy are deadly,elrond master healing weapons enemy deadly
130,"To tell you the truth, I had very little hope; for I suspected that there was some fragment of the blade still in the closed wound.",to tell you the truth i had very little hope for i suspected that there was some fragment of the blade still in the closed wound,tell truth little hope suspected fragment blade still closed wound
131,But it could not be found until last night.,but it could not be found until last night,could found last night
132,Then Elrond removed a splinter.,then elrond removed a splinter,elrond removed splinter
133,It was deeply buried.,it was deeply buried,deeply buried
134,and it was working inwards.',and it was working inwards,working inwards
135,"Frodo shuddered, remembering the cruel knife with notched blade that had vanished in Strider's hands.",frodo shuddered remembering the cruel knife with notched blade that had vanished in striders hands,frodo shuddered remembering cruel knife notched blade vanished striders hands
136,`Don't be alarmed!',dont be alarmed,dont alarmed
137,said Gandalf.,said gandalf,said gandalf
138,`It is gone now.,it is gone now,gone
139,It has been melted.,it has been melted,melted
140,And it seems that Hobbits fade very reluctantly.,and it seems that hobbits fade very reluctantly,seems hobbits fade reluctantly
141,"I have known strong warriors of the Big People who would quickly have been overcome by that splinter, which you bore for seventeen days.'",i have known strong warriors of the big people who would quickly have been overcome by that splinter which you bore for seventeen days,known strong warriors big people would quickly overcome splinter bore seventeen days
142,`What would they have done to me?',what would they have done to me,would done
143,asked Frodo.,asked frodo,asked frodo
144,`What were the Riders trying to do?',what were the riders trying to do,riders trying
145,'They tried to pierce your heart with a Morgul-knife which remains in the wound.,they tried to pierce your heart with a morgulknife which remains in the wound,tried pierce heart morgulknife remains wound
146,"If they had succeeded, you would have become like they are, only weaker and under their command.",if they had succeeded you would have become like they are only weaker and under their command,succeeded would become like weaker command
147,"You would have became a wraith under the dominion of the Dark Lord; and he would have tormented you for trying to keep his Ring, if any greater torment were possible than being robbed of it and seeing it on his hand.'",you would have became a wraith under the dominion of the dark lord and he would have tormented you for trying to keep his ring if any greater torment were possible than being robbed of it and seeing it on his hand,would became wraith dominion dark lord would tormented trying keep ring greater torment possible robbed seeing hand
148,'Thank goodness I did not realize the horrible danger!',thank goodness i did not realize the horrible danger,thank goodness realize horrible danger
149,said Frodo faintly.,said frodo faintly,said frodo faintly
150,"I was mortally afraid, of course; but if I had known more, I should not have dared even to move.",i was mortally afraid of course but if i had known more i should not have dared even to move,mortally afraid course known dared even move
151,It is a marvel that I escaped!',it is a marvel that i escaped,marvel escaped
152,"'Yes, fortune or fate have helped you,' said Gandalf, `not to mention courage.",yes fortune or fate have helped you said gandalf not to mention courage,yes fortune fate helped said gandalf mention courage
153,"For your heart was not touched, and only your shoulder was pierced; and that was because you resisted to the last.",for your heart was not touched and only your shoulder was pierced and that was because you resisted to the last,heart touched shoulder pierced resisted last
154,"But it was a terribly narrow shave, so to speak.",but it was a terribly narrow shave so to speak,terribly narrow shave speak
155,"You were in gravest peril while you wore the Ring, for then you were half in the wraith-world yourself, and they might have seized you.",you were in gravest peril while you wore the ring for then you were half in the wraithworld yourself and they might have seized you,gravest peril wore ring half wraithworld might seized
156,"You could see them, and they could see you.'",you could see them and they could see you,could see could see
157,"`I know,' said Frodo.",i know said frodo,know said frodo
158,`They were terrible to behold!,they were terrible to behold,terrible behold
159,But why could we all see their horses?',but why could we all see their horses,could see horses
160,`Because they are real horses; just as the black robes are real robes that they wear to give shape to their nothingness when they have dealings with the living.',because they are real horses just as the black robes are real robes that they wear to give shape to their nothingness when they have dealings with the living,real horses black robes real robes wear give shape nothingness dealings living
161,`Then why do these black horses endure such riders?,then why do these black horses endure such riders,black horses endure riders
162,"All other animals are terrified when they draw near, even the elf-horse of Glorfindel.",all other animals are terrified when they draw near even the elfhorse of glorfindel,animals terrified draw near even elfhorse glorfindel
163,The dogs howl and the geese scream at them.',the dogs howl and the geese scream at them,dogs howl geese scream
164,`Because these horses are born and bred to the service of the Dark Lord in Mordor.,because these horses are born and bred to the service of the dark lord in mordor,horses born bred service dark lord mordor
165,Not all his servants and chattels are wraiths!,not all his servants and chattels are wraiths,servants chattels wraiths
166,"There are orcs and trolls, there are wargs and werewolves; and there have been and still are many Men, warriors and kings, that walk alive under the Sun, and yet are under his sway.",there are orcs and trolls there are wargs and werewolves and there have been and still are many men warriors and kings that walk alive under the sun and yet are under his sway,orcs trolls wargs werewolves still many men warriors kings walk alive sun yet sway
167,And their number is growing daily.',and their number is growing daily,number growing daily
168,`What about Rivendell and the Elves?,what about rivendell and the elves,rivendell elves
169,Is Rivendell safe?',is rivendell safe,rivendell safe
