sentence_id,sentence,cleaned_sentence,tokens
0,"_
            The Shadow of the Past

     The talk did not die down in nine or even ninety-nine days.",the shadow of the past the talk did not die down in nine or even ninetynine days,shadow past talk die nine even ninetynine days
1,"The second disappearance of Mr. Bilbo Baggins was discussed in Hobbiton, and indeed all over the Shire, for a year and a day, and was remembered much longer than that.",the second disappearance of mr bilbo baggins was discussed in hobbiton and indeed all over the shire for a year and a day and was remembered much longer than that,second disappearance mr bilbo baggins discussed hobbiton indeed shire year day remembered much longer
2,"It became a fireside-story for young hobbits; and eventually Mad Baggins, who used to vanish with a bang and a flash and reappear with bags of jewels and gold, became a favourite character of legend and lived on long after all the true events were forgotten.",it became a firesidestory for young hobbits and eventually mad baggins who used to vanish with a bang and a flash and reappear with bags of jewels and gold became a favourite character of legend and lived on long after all the true events were forgotten,became firesidestory young hobbits eventually mad baggins used vanish bang flash reappear bags jewels gold became favourite character legend lived long true events forgotten
3,"But in the meantime, the general opinion in the neighbourhood was that Bilbo, who had always been rather cracked, had at last gone quite mad, and had run off into the Blue.",but in the meantime the general opinion in the neighbourhood was that bilbo who had always been rather cracked had at last gone quite mad and had run off into the blue,meantime general opinion neighbourhood bilbo always rather cracked last gone quite mad run blue
4,"There he had undoubtedly fallen into a pool or a river and come to a tragic, but hardly an untimely, end.",there he had undoubtedly fallen into a pool or a river and come to a tragic but hardly an untimely end,undoubtedly fallen pool river come tragic hardly untimely end
5,The blame was mostly laid on Gandalf.,the blame was mostly laid on gandalf,blame mostly laid gandalf
6,"'If only that dratted wizard will leave young Frodo alone, perhaps he'll settle down and grow some hobbit-sense,' they said.",if only that dratted wizard will leave young frodo alone perhaps hell settle down and grow some hobbitsense they said,dratted wizard leave young frodo alone perhaps hell settle grow hobbitsense said
7,"And to all appearance the wizard did leave Frodo alone, and he did settle down, but the growth of hobbit-sense was not very noticeable.",and to all appearance the wizard did leave frodo alone and he did settle down but the growth of hobbitsense was not very noticeable,appearance wizard leave frodo alone settle growth hobbitsense noticeable
8,"Indeed, he at once began to carry on Bilbo's reputation for oddity.",indeed he at once began to carry on bilbos reputation for oddity,indeed began carry bilbos reputation oddity
9,"He refused to go into mourning; and the next year he gave a party in honour of Bilbo's hundred-and-twelfth birthday, which he called Hundred-weight Feast.",he refused to go into mourning and the next year he gave a party in honour of bilbos hundredandtwelfth birthday which he called hundredweight feast,refused go mourning next year gave party honour bilbos hundredandtwelfth birthday called hundredweight feast
10,"But that was short of the mark, for twenty guests were invited and there were several meals at which it snowed food and rained drink, as hobbits say.",but that was short of the mark for twenty guests were invited and there were several meals at which it snowed food and rained drink as hobbits say,short mark twenty guests invited several meals snowed food rained drink hobbits say
11,Some people were rather shocked; but Frodo kept up the custom of giving Bilbo's Birthday Party year after year until they got used to it.,some people were rather shocked but frodo kept up the custom of giving bilbos birthday party year after year until they got used to it,people rather shocked frodo kept custom giving bilbos birthday party year year got used
12,He said that he did not think Bilbo was dead.,he said that he did not think bilbo was dead,said think bilbo dead
13,When they asked: 'Where is he then?',when they asked where is he then,asked
14,he shrugged his shoulders.,he shrugged his shoulders,shrugged shoulders
15,"He lived alone, as Bilbo had done; but he had a good many friends, especially among the younger hobbits (mostly descendants of the Old Took) who had as children been fond of Bilbo and often in and out of Bag End.",he lived alone as bilbo had done but he had a good many friends especially among the younger hobbits mostly descendants of the old took who had as children been fond of bilbo and often in and out of bag end,lived alone bilbo done good many friends especially among younger hobbits mostly descendants old took children fond bilbo often bag end
16,"Folco Boffin and Fredegar Bolger were two of these; but his closest friends were Peregrin Took (usually called Pippin), and Merry Brandybuck (his real name was Meriadoc, but that was seldom remembered).",folco boffin and fredegar bolger were two of these but his closest friends were peregrin took usually called pippin and merry brandybuck his real name was meriadoc but that was seldom remembered,folco boffin fredegar bolger two closest friends peregrin took usually called pippin merry brandybuck real name meriadoc seldom remembered
17,"Frodo went tramping all over the Shire with them; but more often he wandered by himself, and to the amazement of sensible folk he was sometimes seen far from home walking in the hills and woods under the starlight.",frodo went tramping all over the shire with them but more often he wandered by himself and to the amazement of sensible folk he was sometimes seen far from home walking in the hills and woods under the starlight,frodo went tramping shire often wandered amazement sensible folk sometimes seen far home walking hills woods starlight
18,"Merry and Pippin suspected that he visited the Elves at times, as Bilbo had done.",merry and pippin suspected that he visited the elves at times as bilbo had done,merry pippin suspected visited elves times bilbo done
19,"As time went on, people began to notice that Frodo also showed signs of good 'preservation': outwardly he retained the appearance of a robust and energetic hobbit just out of his tweens.",as time went on people began to notice that frodo also showed signs of good preservation outwardly he retained the appearance of a robust and energetic hobbit just out of his tweens,time went people began notice frodo also showed signs good preservation outwardly retained appearance robust energetic hobbit tweens
20,"'Some folk have all the luck,' they said; but it was not until Frodo approached the usually more sober age of fifty that they began to think it queer.",some folk have all the luck they said but it was not until frodo approached the usually more sober age of fifty that they began to think it queer,folk luck said frodo approached usually sober age fifty began think queer
21,"Frodo himself, after the first shock, found that being his own master and _the_ Mr. Baggins of Bag End was rather pleasant.",frodo himself after the first shock found that being his own master and the mr baggins of bag end was rather pleasant,frodo first shock found master mr baggins bag end rather pleasant
22,For some years he was quite happy and did not worry much about the future.,for some years he was quite happy and did not worry much about the future,years quite happy worry much future
23,But half unknown to himself the regret that he had not gone with Bilbo was steadily growing.,but half unknown to himself the regret that he had not gone with bilbo was steadily growing,half unknown regret gone bilbo steadily growing
24,"He found himself wondering at times, especially in the autumn, about the wild lands, and strange visions of mountains that he had never seen came into his dreams.",he found himself wondering at times especially in the autumn about the wild lands and strange visions of mountains that he had never seen came into his dreams,found wondering times especially autumn wild lands strange visions mountains never seen came dreams
25,He began to say to himself: 'Perhaps I shall cross the River myself one day.',he began to say to himself perhaps i shall cross the river myself one day,began say perhaps shall cross river one day
26,To which the other half of his mind always replied: 'Not yet.',to which the other half of his mind always replied not yet,half mind always replied yet
27,"So it went on, until his forties were running out, and his fiftieth birthday was drawing near: fifty was a number that he felt was somehow significant (or ominous); it was at any rate at that age that adventure had suddenly befallen Bilbo.",so it went on until his forties were running out and his fiftieth birthday was drawing near fifty was a number that he felt was somehow significant or ominous it was at any rate at that age that adventure had suddenly befallen bilbo,went forties running fiftieth birthday drawing near fifty number felt somehow significant ominous rate age adventure suddenly befallen bilbo
28,"Frodo began to feel restless, and the old paths seemed too well-trodden.",frodo began to feel restless and the old paths seemed too welltrodden,frodo began feel restless old paths seemed welltrodden
29,"He looked at maps, and wondered what lay beyond their edges: maps made in the Shire showed mostly white spaces beyond its borders.",he looked at maps and wondered what lay beyond their edges maps made in the shire showed mostly white spaces beyond its borders,looked maps wondered lay beyond edges maps made shire showed mostly white spaces beyond borders
