sentence_id,sentence
0,"_
            The Shadow of the Past

     The talk did not die down in nine or even ninety-nine days."
1,"The second disappearance of Mr. Bilbo Baggins was discussed in Hobbiton, and indeed all over the Shire, for a year and a day, and was remembered much longer than that."
2,"It became a fireside-story for young hobbits; and eventually Mad Baggins, who used to vanish with a bang and a flash and reappear with bags of jewels and gold, became a favourite character of legend and lived on long after all the true events were forgotten."
3,"But in the meantime, the general opinion in the neighbourhood was that Bilbo, who had always been rather cracked, had at last gone quite mad, and had run off into the Blue."
4,"There he had undoubtedly fallen into a pool or a river and come to a tragic, but hardly an untimely, end."
5,The blame was mostly laid on Gandalf.
6,"'If only that dratted wizard will leave young Frodo alone, perhaps he'll settle down and grow some hobbit-sense,' they said."
7,"And to all appearance the wizard did leave Frodo alone, and he did settle down, but the growth of hobbit-sense was not very noticeable."
8,"Indeed, he at once began to carry on Bilbo's reputation for oddity."
9,"He refused to go into mourning; and the next year he gave a party in honour of Bilbo's hundred-and-twelfth birthday, which he called Hundred-weight Feast."
10,"But that was short of the mark, for twenty guests were invited and there were several meals at which it snowed food and rained drink, as hobbits say."
11,Some people were rather shocked; but Frodo kept up the custom of giving Bilbo's Birthday Party year after year until they got used to it.
12,He said that he did not think Bilbo was dead.
13,When they asked: 'Where is he then?'
14,he shrugged his shoulders.
15,"He lived alone, as Bilbo had done; but he had a good many friends, especially among the younger hobbits (mostly descendants of the Old Took) who had as children been fond of Bilbo and often in and out of Bag End."
16,"Folco Boffin and Fredegar Bolger were two of these; but his closest friends were Peregrin Took (usually called Pippin), and Merry Brandybuck (his real name was Meriadoc, but that was seldom remembered)."
17,"Frodo went tramping all over the Shire with them; but more often he wandered by himself, and to the amazement of sensible folk he was sometimes seen far from home walking in the hills and woods under the starlight."
18,"Merry and Pippin suspected that he visited the Elves at times, as Bilbo had done."
19,"As time went on, people began to notice that Frodo also showed signs of good 'preservation': outwardly he retained the appearance of a robust and energetic hobbit just out of his tweens."
20,"'Some folk have all the luck,' they said; but it was not until Frodo approached the usually more sober age of fifty that they began to think it queer."
21,"Frodo himself, after the first shock, found that being his own master and _the_ Mr. Baggins of Bag End was rather pleasant."
22,For some years he was quite happy and did not worry much about the future.
23,But half unknown to himself the regret that he had not gone with Bilbo was steadily growing.
24,"He found himself wondering at times, especially in the autumn, about the wild lands, and strange visions of mountains that he had never seen came into his dreams."
25,He began to say to himself: 'Perhaps I shall cross the River myself one day.'
26,To which the other half of his mind always replied: 'Not yet.'
27,"So it went on, until his forties were running out, and his fiftieth birthday was drawing near: fifty was a number that he felt was somehow significant (or ominous); it was at any rate at that age that adventure had suddenly befallen Bilbo."
28,"Frodo began to feel restless, and the old paths seemed too well-trodden."
29,"He looked at maps, and wondered what lay beyond their edges: maps made in the Shire showed mostly white spaces beyond its borders."
30,He took to wandering further afield and more often by himself; and Merry and his other friends watched him anxiously.
31,Often he was seen walking and talking with the strange wayfarers that began at this time to appear in the Shire.
32,"There were rumours of strange things happening in the world outside; and as Gandalf had not at that time appeared or sent any message for several years, Frodo gathered all the news he could."
33,"Elves, who seldom walked in the Shire, could now be seen passing westward through the woods in the evening, passing and not returning; but they were leaving Middle-earth and were no longer concerned with its troubles."
34,"There were, however, dwarves on the road in unusual numbers."
35,"The ancient East-West Road ran through the Shire to its end at the Grey Havens, and dwarves had always used it on their way to their mines in the Blue Mountains."
36,They were the hobbits' chief source of news from distant parts  if they wanted any: as a rule dwarves said little and hobbits asked no more.
37,"But now Frodo often met strange dwarves of far countries, seeking refuge in the West."
38,"They were troubled, and some spoke in whispers of the Enemy and of the Land of Mordor."
39,"That name the hobbits only knew in legends of the dark past, like a shadow in the background of their memories; but it was ominous and disquieting."
40,It seemed that the evil power in Mirkwood had been driven out by the White Council only to reappear in greater strength in the old strongholds of Mordor.
41,"The Dark Tower had been rebuilt, it was said."
42,"From there the power was spreading far and wide, and away far east and south there were wars and growing fear."
43,Orcs were multiplying again in the mountains.
44,"Trolls were abroad, no longer dull-witted, but cunning and armed with dreadful weapons."
45,"And there were murmured hints of creatures more terrible than all these, but they had no name."
46,"Little of all this, of course, reached the ears of ordinary hobbits."
47,But even the deafest and most stay-at-home began to hear queer tales; and those whose business took them to the borders saw strange things.
48,"The conversation in _The Green Dragon_ at Bywater, one evening in the spring of Frodo's fiftieth year, showed that even in the comfortable heart of the Shire rumours had been heard, though most hobbits still laughed at them."
49,"Sam Gamgee was sitting in one corner near the fire, and opposite him was Ted Sandyman, the miller's son; and there were various other rustic hobbits listening to their talk."
50,"'Queer things you do hear these days, to be sure,' said Sam."
51,"'Ah,' said Ted, 'you do, if you listen."
52,"But I can hear fireside-tales and children's stories at home, if I want to.'"
53,"'No doubt you can,' retorted Sam, 'and I daresay there's more truth in some of them than you reckon."
54,Who invented the stories anyway?
55,Take dragons now.'
56,"'No thank 'ee,' said Ted, 'I won't."
57,"I heard tell of them when I was a youngster, but there's no call to believe in them now."
58,"There's only one Dragon in Bywater, and that's Green,' he said, getting a general laugh."
59,"'All right,' said Sam, laughing with the rest."
60,"'But what about these Tree-men, these giants, as you might call them?"
61,They do say that one bigger than a tree was seen up away beyond the North Moors not long back.'
62,'Who's _they_?'
63,'My cousin Hal for one.
64,He works for Mr. Boffin at Overhill and goes up to the Northfarthing for the hunting.
65,He _saw_ one.'
66,"'Says he did, perhaps."
67,Your Hal's always saying he's seen things; and maybe he sees things that ain't there.'
68,"'But this one was as big as an elm tree, and walking  walking seven yards to a stride, if it was an inch.'"
69,'Then I bet it wasn't an inch.
70,"What he saw _was_ an elm tree, as like as not.'"
71,"'But this one was _walking,_ I tell you; and there ain't no elm tree on the North Moors.'"
72,"'Then Hal can't have seen one,' said Ted."
73,There was some laughing and clapping: the audience seemed to think that Ted had scored a point.
74,"'All the same,' said Sam, 'you can't deny that others besides our Halfast have seen queer folk crossing the Shire  crossing it, mind you: there are more that are turned back at the borders."
75,The Bounders have never been so busy before.
76,'And I've heard tell that Elves are moving west.
77,"They do say they are going to the harbours, out away beyond the White Towers.'"
78,"Sam waved his arm vaguely: neither he nor any of them knew how far it was to the Sea, past the old towers beyond the western borders of the Shire."
79,"But it was an old tradition that away over there stood the Grey Havens, from which at times elven-ships set sail, never to return."
80,"'They are sailing, sailing, sailing over the Sea, they are going into the West and leaving us,' said Sam, half chanting the words, shaking his head sadly and solemnly."
81,But Ted laughed.
82,"'Well, that isn't anything new, if you believe the old tales."
83,And I don't see what it matters to me or you.
84,Let them sail!
85,But I warrant you haven't seen them doing it; nor any one else in the Shire.'
86,"'Well I don't know,' said Sam thoughtfully."
87,"He believed he had once seen an Elf in the woods, and still hoped to see more one day."
88,"Of all the legends that he had heard in his early years such fragments of tales and half-remembered stories about the Elves as the hobbits knew, had always moved him most deeply."
89,"'There are some, even in these parts, as know the Fair Folk and get news of them,' he said."
90,"'There's Mr. Baggins now, that I work for."
91,He told me that they were sailing and he knows a bit about Elves.
92,And old Mr. Bilbo knew more: many's the talk I had with him when I was a little lad.'
93,"'Oh, they're both cracked,' said Ted."
94,"'Leastways old Bilbo was cracked, and Frodo's cracking."
95,"If that's where you get your news from, you'll never want for moonshine."
96,"Well, friends, I'm off home."
97,Your good health!'
98,He drained his mug and went out noisily.
99,Sam sat silent and said no more.
100,He had a good deal to think about.
101,"For one thing, there was a lot to do up in the Bag End garden, and he would have a busy day tomorrow, if the weather cleared."
