sentence_id,sentence
0,"_
            The Mirror of Galadriel

     The sun was sinking behind the mountains, and the shadows were deepening in the woods, when they went on again."
1,Their paths now went into thickets where the dusk had already gathered.
2,"Night came beneath the trees as they walked, and the Elves uncovered their silver lamps."
3,Suddenly they came out into the open again and found themselves under a pale evening sky pricked by a few early stars.
4,"There was a wide treeless space before them, running in a great circle and bending away on either hand."
5,"Beyond it was a deep fosse lost in soft shadow, but the grass upon its brink was green, as if it glowed still in memory of the sun that had gone."
6,Upon the further side there rose to a great height a green wall encircling a green hill thronged with mallorn-trees taller than any they had yet seen in all the land.
7,"Their height could not be guessed, but they stood up in the twilight like living towers."
8,"In their, many-tiered branches and amid their ever-moving leaves countless lights were gleaming, green and gold and silver."
9,Haldir turned towards the Company.
10,`Welcome to Caras Galadhon! '
11,he said.
12,'Here is the city of the Galadhrim where dwell the Lord Celeborn and Galadriel the Lady of Lórien.
13,"But we cannot enter here, for the gates do not look northward."
14,"We must go round to the southern side, and the way is not short, for the city is great.'"
15,There was a road paved with white stone running on the outer brink of the fosse.
16,"Along this they went westward, with the city ever climbing up like a green cloud upon their left; and as the night deepened more lights sprang forth, until all the hill seemed afire with stars."
17,"They came at last to a white bridge, and crossing found the great gates of the city: they faced south-west, set between the ends of the encircling wall that here overlapped, and they were tall and strong, and hung with many lamps."
18,"Haldir knocked and spoke, and the gates opened soundlessly; but of guards Frodo could see no sign."
19,"The travellers passed within, and the gates shut behind them."
20,"They were in a deep lane between the ends of the wall, and passing quickly through it they entered the City of the Trees."
21,"No folk could they see, nor hear any feet upon the paths; but there were many voices, about them, and in the air above."
22,Far away up on the hill they could hear the sound of singing falling from on high like soft rain upon leaves.
23,"They went along many paths and climbed many stairs, until they came to the high places and saw before them amid a wide lawn a fountain shimmering."
24,"It was lit by silver lamps that swung from the boughs of trees, and it fell into a basin of silver, from which a white stream spilled."
25,"Upon the south side of the lawn there stood the mightiest of all the trees; its great smooth bole gleamed like grey silk, and up it towered, until its first branches, far above, opened their huge limbs under shadowy clouds of leaves."
26,"Beside it a broad white ladder stood, and at its foot three Elves were seated."
27,"They sprang up as the travellers approached, and Frodo saw that they were tall and clad in grey mail, and from their shoulders hung long white cloaks."
28,"'Here dwell Celeborn and Galadriel,' said Haldir."
29,`It is their wish that you should ascend and speak with them.'
30,"One of the Elf-wardens then blew a clear note on a small horn, and it was answered three times from far above."
31,"`I will go first,' said Haldir."
32,'Let Frodo come next and with him Legolas.
33,The others may follow as they wish.
34,"It is a long climb for those that are not accustomed to such stairs, but you may rest upon the way.'"
35,"As he climbed slowly up Frodo passed many flets: some on one side, some on another, and some set about the bole of the tree, so that the ladder passed through them."
36,"At a great height above the ground he came to a wide _talan_, like the deck of a great ship."
37,"On it was built a house, so large that almost it would have served for a hall of Men upon the earth."
38,"He entered behind Haldir, and found that he was in a chamber of oval shape, in the midst of which grew the trunk of the great mallorn, now tapering towards its crown, and yet making still a pillar of wide girth."
39,The chamber was filled with a soft light; its walls were green and silver and its roof of gold.
40,Many Elves were seated there.
41,"On two chairs beneath the bole of the tree and canopied by a living bough there sat, side by side, Celeborn and Galadriel."
42,"They stood up to greet their guests, after the manner of Elves, even those who were accounted mighty kings."
43,"Very tall they were, and the Lady no less tall than the Lord; and they were grave and beautiful."
44,"They were clad wholly in white; and the hair of the Lady was of deep gold, and the hair of the Lord Celeborn was of silver long and bright; but no sign of age was upon them, unless it were in the depths of their eyes; for these were keen as lances in the starlight, and yet profound, the wells of deep memory."
45,"Haldir led Frodo before them, and the Lord welcomed him in his own tongue."
46,The Lady Galadriel said no word but looked long upon his face.
47,"`Sit now beside my chair, Frodo of the Shire! '"
48,said Celeborn.
49,`When all have come we will speak together.'
50,Each of the companions he greeted courteously by name as they entered.
51,`Welcome Aragorn son of Arathorn! '
52,he said.
53,`It is eight and thirty years of the world outside since you came to this land; and those years lie heavy on you.
54,"But the end is near, for good or ill."
55,Here lay aside your burden for a while! '
56,'Welcome son of Thranduil!
57,Too seldom do my kindred journey hither from the North.'
58,`Welcome Gimli son of Glóin!
59,It is long indeed since we saw one of Durin's folk in Caras Galadhon.
60,But today we have broken our long law.
61,"May it be a sign that though the world is now dark better days are at hand, and that friendship shall be renewed between our peoples.'"
62,Gimli bowed low.
63,When all the guests were seated before his chair the Lord looked at them again.
64,"'Here there are eight,' he said."
65,`Nine were to set out: so said the messages.
66,But maybe there has been some change of counsel that we have not heard.
67,"Elrond is far away, and darkness gathers between us, and all this year the shadows have grown longer.'"
68,"`Nay, there was no change of counsel,' said the Lady Galadriel speaking for the first time."
69,"Her voice was clear and musical, but deeper than woman's wont."
70,"`Gandalf the Grey set out with the Company, but he did not pass the borders of this land."
71,Now tell us where he is; for I much desired to speak with him again.
72,"But I cannot see him from afar, unless he comes within the fences of Lothlórien: a grey mist is about him, and the ways of his feet and of his mind are hidden from me.'"
73,'Alas! '
74,said Aragorn.
75,`Gandalf the Grey fell into shadow.
76,He remained in Moria and did not escape.'
77,At these words all the Elves in the hall cried aloud in grief and amazement.
78,"`These are evil tidings,' said Celeborn, `the most evil that have been spoken here in long years full of grievous deeds.'"
79,He turned to Haldir.
80,`Why has nothing of this been told to me before? '
81,he asked in the Elven-tongue.
82,"'We have not spoken to Haldir of our deeds or our purpose,' said Legolas."
83,"`At first we were weary and danger was too close behind and afterwards we almost forgot our grief for a time, as we walked in gladness on the fair paths of Lórien.'"
84,"`Yet our grief is great and our loss cannot be mended,' said Frodo."
85,"'Gandalf was our guide, and he led us through Moria; and when our escape seemed beyond hope he saved us, and he fell.'"
86,'Tell us now the full tale! '
87,"said Celeborn:
     Then Aragorn recounted all that had happened upon the pass of Caradhras, and in the days that followed; and he spoke of Balin and his book, and the fight in the Chamber of Mazarbul, and the fire, and the narrow bridge, and the coming of the Terror."
88,"'An evil of the Ancient World it seemed, such as I have never seen before,' said Aragorn."
89,"`It was both a shadow and a flame, strong and terrible.'"
90,"'It was a Balrog of Morgoth,' said Legolas; `of all elf-banes the most deadly, save the One who sits in the Dark Tower.'"
91,"`Indeed I saw upon the bridge that which haunts our darkest dreams I saw Durin's Bane,' said Gimli in a low voice, and dread was in his eyes."
92,'Alas! '
93,said Celeborn.
94,`We long have feared that under Caradhras a terror slept.
95,"But had I known that the Dwarves had stirred up this evil in Moria again, I would have forbidden you to pass the northern borders, you and all that went with you."
96,"And if it were possible, one would say that at the last Gandalf fell from wisdom into folly, going needlessly into the net of Moria.'"
97,"`He would be rash indeed that said that thing,' said Galadriel gravely."
98,`Needless were none of the deeds of Gandalf in life.
99,Those that followed him knew not his mind and cannot report his full purpose.
100,"But however it may be with the guide, the followers are blameless."
101,Do not repent of your welcome to the Dwarf.
102,"If our folk had been exiled long and far from Lothlórien, who of the Galadhrim, even Celeborn the Wise, would pass nigh and would not wish to look upon their ancient home, though it had become an abode of dragons?"
103,"'Dark is the water of Kheled-zâram, and cold are the springs of Kibil-nâla, and fair were the many-pillared halls of Khazad-dûm in Elder Days before the fall of mighty kings beneath the stone.'"
104,"She looked upon Gimli, who sat glowering and sad, and she smiled."
105,"And the Dwarf, hearing the names given in his own ancient tongue, looked up and met her eyes; and it seemed to him that he looked suddenly into the heart of an enemy and saw there love and understanding."
106,"Wonder came into his face, and then he smiled in answer."
107,"He rose clumsily and bowed in dwarf-fashion, saying: `Yet more fair is the living land of Lórien, and the Lady Galadriel is above all the jewels that lie beneath the earth! '"
108,There was a silence.
109,At length Celeborn spoke again.
110,"`I did not know that your plight was so evil,' he said."
111,`Let Gimli forget my harsh words: I spoke in the trouble of my heart.
112,"I will do what I can to aid you, each according to his wish and need, but especially that one of the little folk who bears the burden.'"
113,"'Your quest is known to us,' said Galadriel, looking at Frodo."
114,`But we will not here speak of it more openly.
115,"Yet not in vain will it prove, maybe, that you came to this land seeking aid, as Gandalf himself plainly purposed."
116,"For the Lord of the Galadhrim is accounted the wisest of the Elves of Middle-earth, and a giver of gifts beyond the power of kings."
117,"He has dwelt in the West since the days of dawn, and I have dwelt with him years uncounted; for ere the fall of Nargothrond or Gondolin I passed over the mountains, and together through ages of the world we have fought the long defeat."
118,'I it was who first summoned the White Council.
119,"And if my designs had not gone amiss, it would have been governed by Gandalf the Grey, and then mayhap things would have gone otherwise."
120,But even now there is hope left.
121,"I will not give you counsel, saying do this, or do that."
122,"For not in doing or contriving, nor in choosing between this course and another, can I avail; but only in knowing what was and is, and in part also what shall be."
123,But this I will say to you: your Quest stands upon the edge of a knife.
124,"Stray but a little and it will fail, to the ruin of all."
125,Yet hope remains while all the Company is true.'
126,"And with that word she held them with her eyes, and in silence looked searchingly at each of them in turn."
127,None save Legolas and Aragorn could long endure her glance.
128,Sam quickly blushed and hung his head.
129,"At length the Lady Galadriel released them from her eyes, and she smiled."
130,"`Do not let your hearts be troubled,' she said."
131,'Tonight you shall sleep in peace.'
132,"Then they sighed and felt suddenly weary, as those who have been questioned long and deeply, though no words had been spoken openly."
133,`Go now! '
134,said Celeborn.
135,`You are worn with sorrow and much toil.
136,"Even if your Quest did not concern us closely, you should have refuge in this City, until you were healed and refreshed."
137,"Now you shall rest, and we will not speak of your further road for a while.'"
138,"That night the Company slept upon the ground, much to the satisfaction of the hobbits."
139,"The Elves spread for them a pavilion among the trees near the fountain, and in it they laid soft couches; then speaking words of peace with fair elvish voices they left them."
140,"For a little while the travellers talked of their night before in the tree-tops, and of their day's journey, and of the Lord and Lady; for they had not yet the heart to look further back."
141,"`What did you blush for, Sam? '"
142,said Pippin.
143,`You soon broke down.
144,Anyone would have thought you had a guilty conscience.
145,I hope it was nothing worse than a wicked plot to steal one of my blankets.'
146,"`I never thought no such thing,' answered Sam, in no mood for jest."
147,"'If you want to know, I felt as if I hadn't got nothing on, and I didn't like it."
148,She seemed to be looking inside me and asking me what I would do if she gave me the chance of flying back home to the Shire to a nice little hole with-with a bit of garden of my own.'
149,"`That's funny,' said Merry."
150,"'Almost exactly what I felt myself; only, only well, I don't think I'II say any more,' he ended lamely."
151,"All of them, it seemed, had fared alike: each had felt that he was offered a choice between a shadow full of fear that lay ahead, and something that he greatly desired: clear before his mind it lay, and to get it he had only to turn aside from the road and leave the Quest and the war against Sauron to others."
152,"`And it seemed to me, too,' said Gimli, `that my choice would remain secret and known only to myself.'"
153,"'To me it seemed exceedingly strange,' said Boromir."
154,"`Maybe it was only a test, and she thought to read our thoughts for her own good purpose; but almost I should have said that she was tempting us, and offering what she pretended to have the power to give."
155,It need not be said that I refused to listen.
156,The Men of Minas Tirith are true to their word.'
157,But what he thought that the Lady had offered him Boromir did not tell.
158,"And as for Frodo, he would not speak, though Boromir pressed him with questions."
159,"`She held you long in her gaze, Ring-bearer,' he said."
160,"`Yes,' said Frodo; `but whatever came into my mind then I will keep there.'"
161,"`Well, have a care! '"
162,said Boromir.
163,`I do not feel too sure of this Elvish Lady and her purposes.'
164,`Speak no evil of the Lady Galadriel! '
165,said Aragorn sternly.
166,'You know not what you say.
167,"There is in her and in this land no evil, unless a man bring it hither himself."
168,Then let him beware!
169,But tonight I shall sleep without fear for the first time since I left Rivendell.
170,"And may I sleep deep, and forget for a while my grief!"
171,I am weary in body and in heart.'
172,He cast himself down upon his couch and fell at once into a long sleep.
173,"The others soon did the same, and no sound or dream disturbed their slumber."
174,When they woke they found that the light of day was broad upon the lawn before the pavilion.
175,and the fountain rose and fell glittering in the sun.
176,"They remained some days in Lothlórien, so far as they could tell or remember."
177,"All the while that they dwelt there the sun shone clear, save for a gentle rain that fell at times, and passed away leaving all things fresh and clean."
178,"The air was cool and soft, as if it were early spring, yet they felt about them the deep and thoughtful quiet of winter."
179,"It seemed to them that they did little but eat and drink and rest, and walk among the trees; and it was enough."
180,"They had not seen the Lord and Lady again, and they had little speech with the Elven-folk; for few of these knew or would use the Westron tongue."
181,"Haldir had bidden them farewell and gone back again to the fences of the North, where great watch was now kept since the tidings of Moria that the Company had brought."
182,"Legolas was away much among the Galadhrim, and after the first night he did not sleep with the other companions, though he returned to eat and talk with them."
183,"Often he took Gimli with him when he went abroad in the land, and the others wondered at this change."
184,"Now as the companions sat or walked together they spoke of Gandalf, and all that each had known and seen of him came clear before their minds."
185,As they were healed of hurt and weariness of body the grief of their loss grew more keen.
186,"Often they heard nearby Elvish voices singing, and knew that they were making songs of lamentation for his fall, for they caught his name among the sweet sad words that they could not understand."
187,"_Mithrandir, Mithrandir_ sang the Elves, _O Pilgrim Grey!_For so they loved to call him."
188,"But if Legolas was with the Company, he would not interpret the songs for them, saying that he had not the skill, and that for him the grief was still too near, a matter for tears and not yet for song."
189,It was Frodo who first put something of his sorrow into halting words.
190,"He was seldom moved to make song or rhyme; even in Rivendell he had listened and had not sung himself, though his memory was stored with many things that others had made before him."
191,"But now as he sat beside the fountain in Lórien and heard about him the voices of the Elves, his thought took shape in a song that seemed fair to him; yet when he tried to repeat it to Sam only snatches remained, faded as a handful of withered leaves."
192,"When evening in the Shire was grey
           his footsteps on the Hill were heard;
           before the dawn he went away
           on journey long without a word."
193,"From Wilderland to Western shore,
           from northern waste to southern hill,
           through dragon-lair and hidden door
           and darkling woods he walked at will."
194,"With Dwarf and Hobbit, Elves and Men,
           with mortal and immortal folk,
           with bird on bough and beast in den,
           in their own secret tongues he spoke."
195,"A deadly sword, a healing hand,
           a back that bent beneath its load;
           a trumpet-voice, a burning brand,
           a weary pilgrim on the road."
196,"A lord of wisdom throned he sat,
           swift in anger, quick to laugh;
           an old man in a battered hat
           who leaned upon a thorny staff."
197,"He stood upon the bridge alone
           and Fire and Shadow both defied;
           his staff was broken on the stone,
           in Khazad-dûm his wisdom died."
198,"`Why, you'll be beating Mr. Bilbo next! '"
199,said Sam.
200,"'No, I am afraid not,' said Frodo."
201,'But that is the best I can do yet.'
202,"'Well, Mr. Frodo, if you do have another go, I hope you'll say a word about his fireworks,' said Sam."
203,"`Something like this:

          The finest rockets ever seen:
           they burst in stars of blue and green,
           or after thunder golden showers
           came falling like a rain of flowers."
204,Though that doesn't do them justice by a long road.'
205,"`No, I'll leave that to you, Sam."
206,Or perhaps to Bilbo.
207,But-well.
208,I can't talk of it any more.
209,I can't bear to think of bringing the news to him.'
210,One evening Frodo and Sam were walking together in the cool twilight.
211,Both of them felt restless again.
212,On Frodo suddenly the shadow of parting had fallen: he knew somehow that the time was very near when he must leave Lothlórien.
213,"`What do you think of Elves now, Sam? '"
214,he said.
215,`I asked you the same question once before-it seems a very long while ago; but you have seen more of them since then.'
216,'I have indeed! '
217,said Sam.
218,'And I reckon there's Elves and Elves.
219,"They're all elvish enough, but they're not all the same."
220,"Now these folk aren't wanderers or homeless, and seem a bit nearer to the likes of us: they seem to belong here, more even than Hobbits do in the Shire."
221,"Whether they've made the land, or the land's made them, it's hard to say, if you take my meaning."
222,It's wonderfully quiet here.
223,"Nothing seems to be going on, and nobody seems to want it to."
224,"If there's any magic about, it's right down deep, where I can't lay my hands on it, in a manner of speaking.'"
225,"'You can see and feel it everywhere,' said Frodo."
226,"'Well,' said Sam, 'you can't see nobody working it."
227,No fireworks like poor Gandalf used to show.
228,I wonder we don't see nothing of the Lord and Lady in all these days.
229,"I fancy now that _she_ could do some wonderful things, if she had a mind."
230,"I'd dearly love to see some Elf-magic, Mr. Frodo! '"
231,"'I wouldn't,' said Frodo."
232,`I am content.
233,"And I don't miss Gandalf's fireworks, but his bushy eyebrows, and his quick temper, and his voice.'"
234,"`You're right,' said Sam."
235,`And don't think I'm finding fault.
236,"I've often wanted to see a bit of magic like what it tells of in old tales, but I've never heard of a better land than this."
237,"It's like being at home and on a holiday at the same time, if you understand me."
238,I don't want to leave.
239,"All the same, I'm beginning to feel that if we've got to go on, then we'd best get it over."
240,"'_It's the job that's never started as takes longest to finish_, as my old gaffer used to say."
241,"And I don't reckon that these folk can do much more to help us, magic or no."
242,"It's when we leave this land that we shall miss Gandalf worse, I'm thinking.'"
243,"'I am afraid that's only too true, Sam,' said Frodo."
244,`Yet I hope very much that before we leave we shall see the Lady of the Elves again.'
245,"Even as he spoke, they saw, as if she came in answer to their words, the Lady Galadriel approaching."
246,Tall and white and fair she walked beneath the trees.
247,"She spoke no word, but beckoned to them."
248,"Turning aside, she led them toward the southern slopes of the hill of Caras Galadhon, and passing through a high green hedge they came into an enclosed garden."
249,"No trees grew there, and it lay open to the sky."
250,The evening star had risen and was shining with white fire above the western woods.
251,"Down a long flight of steps the Lady went into a deep green hollow, through which ran murmuring the silver stream that issued from the fountain on the hill."
252,"At the bottom, upon a low pedestal carved like a branching tree, stood a basin of silver."
253,"wide and shallow, and beside it stood a silver ewer."
254,"With water from the stream Galadriel filled the basin to the brim, and breathed on it, and when the water was still again she spoke."
255,"`Here is the Mirror of Galadriel,' she said."
256,"'I have brought you here so that you may look in it, if you will.'"
257,"The air was very still, and the dell was dark, and the Elf-lady beside him was tall and pale."
258,"'What shall we look for, and what shall we see? '"
259,"asked Frodo, filled with awe."
260,"`Many things I can command the Mirror to reveal,' she answered, `and to some I can show what they desire to see."
261,"But the Mirror will also show things unbidden, and those are often stranger and more profitable than things which we wish to behold."
262,"What you will see, if you leave the Mirror free to work, I cannot tell."
263,"For it shows things that were, and things that are, things that yet may be."
264,"But which it is that he sees, even the wisest cannot always tell."
265,Do you wish to look? '
266,Frodo did not answer.
267,`And you? '
268,"she said, turning to Sam."
269,'For this is what your folk would call magic.
270,I believe; though I do not understand clearly what they mean; and they seem also to use the same word of the deceits of the Enemy.
271,"But this, if you will, is the magic of Galadriel."
272,Did you not say that you wished to see Elf-magic? '
273,"'I did,' said Sam, trembling a little between fear and curiosity."
274,"`I'll have a peep, Lady, if you're willing.'"
275,"`And I'd not mind a glimpse of what's going on at home,' he said in an aside to Frodo."
276,'It seems a terrible long time that I've been away.
277,"But there, like as not I'll only see the stars, or something that I won't understand.'"
278,"'Like as not,' said the Lady with a gentle laugh."
279,"`But come, you shall look and see what you may."
280,Do not touch the water! '
281,Sam climbed up on the foot of the pedestal and leaned over the basin.
282,The water looked hard and dark.
283,Stars were reflected in it.
284,"`There's only stars, as I thought,' he said."
285,"Then he gave a low gasp, for the stars went out."
286,"As if a dark veil had been withdrawn, the Mirror grew grey, and then clear."
287,"There was sun shining, and the branches of trees were waving and tossing in the wind."
288,"But before Sam could make up his mind what it was that he saw, the light faded; and now he thought he saw Frodo with a pale face lying fast asleep under a great dark cliff."
289,"Then he seemed to see himself going along a dim passage, and climbing an endless winding stair."
290,"It came to him suddenly that he was looking urgently for something, but what it was he did not know."
291,"Like a dream the vision shifted and went back, and he saw the trees again."
292,"But this time they were not so close, and he could see what was going on: they were not waving in the wind, they were falling, crashing to the ground."
293,`Hi!'
294,cried Sam in an outraged voice.
295,'There's that Ted Sandyman a-cutting down trees as he shouldn't.
296,They didn't ought to be felled: it's that avenue beyond the Mill that shades the road to Bywater.
297,"I wish I could get at Ted, and I'd fell _him_!'"
298,"But now Sam noticed that the Old Mill had vanished, and a large red-brick building was being put up where it had stood."
299,Lots of folk were busily at work.
300,There was a tall red chimney nearby.
301,Black smoke seemed to cloud the surface of the Mirror.
302,"'There's some devilry at work in the Shire,' he said."
303,'Elrond knew what he was about when he wanted to send Mr. Merry back.'
304,Then suddenly Sam gave a cry and sprang away.
305,"'I can't stay here,' he said wildly."
306,`I must go home.
307,"They've dug up Bagshot Row, and there's the poor old gaffer going down the Hill with his bits of things on a barrow."
308,I must go home! '
309,"'You cannot go home alone,' said the Lady."
310,"'You did not wish to go home without your master before you looked in the Mirror, and yet you knew that evil things might well be happening in the Shire."
311,"Remember that the Mirror shows many things, and not all have yet come to pass."
312,"Some never come to be, unless those that behold the visions turn aside from their path to prevent them."
313,The Mirror is dangerous as a guide of deeds.'
314,Sam sat on the ground and put his head in his hands.
315,"`I wish I had never come here, and I don't want to see no more magic,' he said and fell silent."
316,"After a moment he spoke again thickly, as if struggling with tears."
317,"`No, I'll go home by the long road with Mr. Frodo, or not at all,' he said."
318,`But I hope I do get back some day.
319,"If what I've seen turns out true, somebody's going to catch it hot! '"
320,"`Do you now wish to look, Frodo? '"
321,said the Lady Galadriel.
322,`You did not wish to see Elf-magic and were content.'
323,`Do you advise me to look? '
324,asked Frodo.
325,"'No,' she said."
326,`I do not counsel you one way or the other.
327,I am not a counsellor.
328,"You may learn something, and whether what you see be fair or evil, that may be profitable, and yet it may not."
329,Seeing is both good and perilous.
330,"Yet I think, Frodo, that you have courage and wisdom enough for the venture, or I would not have brought you here."
331,Do as you will! '
332,"`I will look,' said Frodo, and he climbed on the pedestal and bent over the dark water."
333,At once the Mirror cleared and he saw a twilit land.
334,Mountains loomed dark in the distance against a pale sky.
335,A long grey road wound back out of sight.
336,"Far away a figure came slowly down the road, faint and small at first, but growing larger and clearer as it approached."
337,Suddenly Frodo realized that it reminded him of Gandalf.
338,"He almost called aloud the wizard's name, and then he saw that the figure was clothed not in grey but in white, in a white that shone faintly in the dusk; and in its hand there was a white staff."
339,"The head was so bowed that he could see no face, and presently the figure turned aside round a bend in the road and went out of the Mirror's view."
340,"Doubt came into Frodo's mind: was this a vision of Gandalf on one of his many lonely journeys long ago, or was it Saruman?"
341,The vision now changed.
