sentence_id,sentence
0,"_
            Flight to the Ford

     When Frodo came to himself he was still clutching the Ring desperately."
1,"He was lying by the fire, which was now piled high and burning brightly."
2,His three companions were bending over him.
3,'What has happened?
4,Where is the pale king?'
5,he asked wildly.
6,They were too overjoyed to hear him speak to answer for a while; nor did they understand his question.
7,At length he gathered from Sam that they had seen nothing but the vague shadowy shapes coming towards them.
8,"Suddenly to his horror Sam found that his master had vanished; and at that moment a black shadow rushed past him, and he fell."
9,"He heard Frodo's voice, but it seemed to come from a great distance, or from under the earth, crying out strange words."
10,"They saw nothing more, until they stumbled over the body of Frodo, lying as if dead, face downwards on the grass with his sword beneath him."
11,"Strider ordered them to pick him up and lay him near the fire, and then he disappeared."
12,That was now a good while ago.
13,"Sam plainly was beginning to have doubts again about Strider; but while they were talking he returned, appearing suddenly out of the shadows."
14,"They started, and Sam drew his sword and stood over Frodo; but Strider knelt down swiftly at his side."
15,"'I am not a Black Rider, Sam,' he said gently, 'nor in league with them."
16,I have been trying to discover something of their movements; but I have found nothing.
17,I cannot think why they have gone and do not attack again.
18,But there is no feeling of their presence anywhere at hand.'
19,"When he heard what Frodo had to tell, he became full of concern, and shook his head and sighed."
20,"Then he ordered Pippin and Merry to heat as much water as they could in their small kettles, and to bathe the wound with it."
21,"'Keep the fire going well, and keep Frodo warm!'"
22,he said.
23,"Then he got up and walked away, and called Sam to him."
24,"'I think I understand things better now,' he said in a low voice."
25,'There seem only to have been five of the enemy.
26,"Why they were not all here, I don't know; but I don't think they expected to be resisted."
27,They have drawn off for the time being.
28,"But not far, I fear."
29,"They will come again another night, if we cannot escape."
30,"They are only waiting, because they think that their purpose is almost accomplished, and that the Ring cannot fly much further."
31,"I fear, Sam, that they believe your master has a deadly wound that will subdue him to their will."
32,We shall see!'
33,Sam choked with tears.
34,'Don't despair!'
35,said Strider.
36,'You must trust me now.
37,"Your Frodo is made of sterner stuff than I had guessed, though Gandalf hinted that it might prove so."
38,"He is not slain, and I think he will resist the evil power of the wound longer than his enemies expect."
39,I will do all I can to help and heal him.
40,"Guard him well, while I am away!'"
41,He hurried off and disappeared again into the darkness.
42,"Frodo dozed, though the pain of his wound was slowly growing, and a deadly chill was spreading from his shoulder to his arm and side."
43,"His friends watched over him, warming him, and bathing his wound."
44,The night passed slowly and wearily.
45,"Dawn was growing in the sky, and the dell was filling with grey light, when Strider at last returned."
46,'Look!'
47,he cried; and stooping he lifted from the ground a black cloak that had lain there hidden by the darkness.
48,A foot above the lower hem there was a slash.
49,"'This was the stroke of Frodo's sword,' he said."
50,"'The only hurt that it did to his enemy, I fear; for it is unharmed, but all blades perish that pierce that dreadful King."
51,More deadly to him was the name of Elbereth.'
52,'And more deadly to Frodo was this!'
53,He stooped again and lifted up a long thin knife.
54,There was a cold gleam in it.
55,As Strider raised it they saw that near the end its edge was notched and the point was broken off.
56,"But even as he held it up in the growing light, they gazed in astonishment, for the blade seemed to melt, and vanished like a smoke in the air, leaving only the hilt in Strider's hand."
57,'Alas!'
58,he cried.
59,'It was this accursed knife that gave the wound.
60,Few now have the skill in healing to match such evil weapons.
61,But I will do what I can.'
62,"He sat down on the ground, and taking the dagger-hilt laid it on his knees, and he sang over it a slow song in a strange tongue."
63,"Then setting it aside, he turned to Frodo and in a soft tone spoke words the others could not catch."
64,From the pouch at his belt he drew out the long leaves of a plant.
65,"'These leaves,' he said, 'I have walked far to find; for this plant does not grow in the bare hills; but in the thickets away south of the Road I found it in the dark by the scent of its leaves.'"
66,"He crushed a leaf in his fingers, and it gave out a sweet and pungent fragrance."
67,"'It is fortunate that I could find it, for it is a healing plant that the Men of the West brought to Middle-earth."
68,"_Athelas_ they named it, and it grows now sparsely and only near places where they dwelt or camped of old; and it is not known in the North, except to some of those who wander in the Wild."
69,"It has great virtues, but over such a wound as this its healing powers may be small.'"
70,He threw the leaves into boiling water and bathed Frodo's shoulder.
71,"The fragrance of the steam was refreshing, and those that were unhurt felt their minds calmed and cleared."
72,"The herb had also some power over the wound, for Frodo felt the pain and also the sense of frozen cold lessen in his side; but the life did not return to his arm, and he could not raise or use his hand."
73,"He bitterly regretted his foolishness, and reproached himself for weakness of will; for he now perceived that in putting on the Ring he obeyed not his own desire but the commanding wish of his enemies."
74,"He wondered if he would remain maimed for life, and how they would now manage to continue their journey."
75,He fell too weak to stand.
76,The others were discussing this very question.
77,They quickly decided to leave Weathertop as soon as possible.
78,"'I think now,' said Strider, 'that the enemy has been watching this place for some days."
79,"If Gandalf ever came here, then he must have been forced to ride away, and he will not return."
80,"In any case we are in great peril here after dark, since the attack of last night, and we can hardly meet greater danger wherever we go.'"
81,"As soon as the daylight was full, they had some hurried food and packed."
82,"It was impossible for Frodo to walk, so they divided the greater part of their baggage among the four of them, and put Frodo on the pony."
83,"In the last few days the poor beast had improved wonderfully; it already seemed fatter and stronger, and had begun to show an affection for its new masters, especially for Sam."
84,Bill Ferny's treatment must have been very hard for the journey in the wild to seem so much better than its former life.
85,They started off in a southerly direction.
86,"This would mean crossing the Road, but."
87,it was the quickest way to more wooded country.
88,"And they needed fuel; for Strider said that Frodo must be kept warm, especially at night, while fire would be some protection for them all."
89,It was also his plan to shorten their journey by cutting across another great loop of the Road: east beyond Weathertop it changed its course and took a wide bend northwards.
90,"They made their way slowly and cautiously round the south-western slopes of the hill, and came in a little while to the edge of the Road."
91,There was no sign of the Riders.
92,But even as they were hurrying across they heard far away two cries: a cold voice calling and a cold voice answering.
93,"Trembling they sprang forward, and made for the thickets that lay ahead."
94,"The land before them sloped away southwards, but it was wild and pathless; bushes and stunted trees grew in dense patches with wide barren spaces in between."
95,"The grass was scanty, coarse, and grey; and the leaves in the thickets were faded and falling."
96,"It was a cheerless land, and their journey was slow and gloomy."
97,They spoke little as they trudged along.
98,"Frodo's heart was grieved as he watched them walking beside him with their heads down, and their backs bowed under their burdens."
99,Even Strider seemed tired and heavy-hearted.
100,"Before the first day's march was over Frodo's pain began to grow again, but he did not speak of it for a long time."
101,"Four days passed, without the ground or the scene changing much, except that behind them Weathertop slowly sank, and before them the distant mountains loomed a little nearer."
102,Yet since that far cry they had seen and heard no sign that the enemy had marked their flight or followed them.
103,"They dreaded the dark hours, and kept watch in pairs by night, expecting at any time to see black shapes stalking in the grey night, dimly lit by the cloud-veiled moon; but they saw nothing, and heard no sound but the sigh of withered leaves and grass."
104,Not once did they feel the sense of present evil that had assailed them before the attack in the dell.
105,It seemed too much to hope that the Riders had already lost their trail again.
106,Perhaps they were waiting to make some ambush in a narrow place?
107,At the end of the fifth day the ground began once more to rise slowly out of the wide shallow valley into which they had descended.
108,"Strider now turned their course again north-eastwards, and on the sixth day they reached the top of a long slow-climbing slope, and saw far ahead a huddle of wooded hills."
109,Away below them they could see the Road sweeping round the feet of the hills; and to their right a grey river gleamed pale in the thin sunshine.
110,In the distance they glimpsed yet another river in a stony valley half-veiled in mist.
111,"""I am afraid we must go back to the Road here for a while,' said Strider."
112,"'We have now come to the River Hoarwell, that the Elves call Mitheithel."
113,"It flows down out of the Ettenmoors, the troll-fells north of Rivendell, and joins the Loudwater away in the South."
114,Some call it the Greyflood after that.
115,It is a great water before it finds the Sea.
116,"There is no way over it below its sources in the Ettenmoors, except by the Last Bridge on which the Road crosses.'"
117,'What is that other river we can see far away there?'
118,asked Merry.
119,"'That is Loudwater, the Bruinen of Rivendell,' answered Strider."
120,'The Road runs along the edge of the hills for many miles from the Bridge to the Ford of Bruinen.
121,But I have not yet thought how we shall cross that water.
122,One river at a time!
123,We shall be fortunate indeed if we do not find the Last Bridge held against us.'
124,"Next day, early in the morning, they came down again to the borders of the Road."
125,"Sam and Strider went forward, but they found no sign of any travellers or riders."
126,Here under the shadow of the hills there had been some rain.
127,"Strider judged that it had fallen two days before, and had washed away all footprints."
128,"No horseman had passed since then, as far as he could see."
129,"They hurried along with all the speed they could make, and after a mile or two they saw the Last Bridge ahead, at the bottom of a short steep slope."
130,"They dreaded to see black figures waiting there, but they saw none."
131,"Strider made them take cover in a thicket at the side of the Road, while he went forward to explore."
132,Before long he came hurrying back.
133,"'I can see no sign of the enemy,' he said, 'and I wonder very much what that means."
134,But I have found something very strange.'
135,"He held out his hand, and showed a single pale-green jewel."
136,"'I found it in the mud in the middle of the Bridge,' he said."
137,"'It is a beryl, an elf-stone."
138,"Whether it was set there, or let fall by chance, I cannot say; but it brings hope to me."
139,"I will take it as a sign that we may pass the Bridge; but beyond that I dare not keep to the Road, without some clearer token.'"
140,At once they went on again.
141,"They crossed the Bridge in safety, hearing no sound but the water swirling against its three great arches."
142,A mile further on they came to a narrow ravine that led away northwards through the steep lands on the left of the Road.
143,"Here Strider turned aside, and soon they were lost in a sombre country of dark trees winding among the feet of sullen hills."
144,The hobbits were glad to leave the cheerless lands and the perilous Road behind them; but this new country seemed threatening and unfriendly.
145,As they went forward the hills about them steadily rose.
146,"Here and there upon heights and ridges they caught glimpses of ancient walls of stone, and the ruins of towers: they had an ominous look."
147,"Frodo, who was not walking, had time to gaze ahead and to think."
148,"He recalled Bilbo's account of his journey and the threatening towers on the hills north of the Road, in the country near the Troll's wood where his first serious adventure had happened."
149,"Frodo guessed that they were now in the same region, and wondered if by chance they would pass near the spot."
150,'Who lives in this land?'
151,he asked.
152,'And who built these towers?
153,Is this troll-country?'
154,'No!'
155,said Strider.
156,'Trolls do not build.
157,No one lives in this land.
158,"Men once dwelt here, ages ago; but none remain now."
159,"They became an evil people, as legends tell, for they fell under the shadow of Angmar."
160,But all were destroyed in the war that brought the North Kingdom to its end.
161,"But that is now so long ago that the hills have forgotten them, though a shadow still lies on the land.'"
162,"'Where did you learn such tales, if all the land is empty and forgetful?'"
163,asked Peregrin.
164,'The birds and beasts do not tell tales of that son.'
165,"'The heirs of Elendil do not forget all things past,' said Strider; 'and many more things than I can tell are remembered in Rivendell.'"
166,'Have you often been to Rivendell?'
167,said Frodo.
168,"'I have,' said Strider."
169,"'I dwelt there once, and still I return when I may."
170,"There my heart is; but it is not my fate to sit in peace, even in the fair house of Elrond.'"
171,The hills now began to shut them in.
172,"The Road behind held on its way to the River Bruinen, but both were now hidden from view."
173,"The travellers came into a long valley; narrow, deeply cloven, dark and silent."
174,"Trees with old and twisted roots hung over cliffs, and piled up behind into mounting slopes of pine-wood."
175,The hobbits grew very weary.
176,"They advanced slowly, for they had to pick their way through a pathless country, encumbered by fallen trees and tumbled rocks."
177,"As long as they could they avoided climbing for Frodo's sake, and because it was in fact difficult to find any way up out of the narrow dales."
178,They had been two days in this country when the weather turned wet.
179,The wind began to blow steadily out of the West and pour the water of the distant seas on the dark heads of the hills in fine drenching rain.
180,"By nightfall they were all soaked, and their camp was cheerless, for they could not get any fire to burn."
181,"The next day the hills rose still higher and steeper before them, and they were forced to turn away northwards out of their course."
182,"Strider seemed to be getting anxious: they were nearly ten days out from Weathertop, and their stock of provisions was beginning to run low."
183,It went on raining.
184,"That night they camped on a stony shelf with a rock-wall behind them, in which there was a shallow cave, a mere scoop in the cliff."
185,Frodo was restless.
186,"The cold and wet had made his wound more painful than ever, and the ache and sense of deadly chill took away all sleep."
