sentence_id,sentence
0,"_
            A Knife in the Dark

     As they prepared for sleep in the inn at Bree, darkness lay on Buckland; a mist strayed in the dells and along the river-bank."
1,The house at Crickhollow stood silent.
2,Fatty Bolger opened the door cautiously and peered out.
3,"A feeling of fear had been growing on him all day, and he was unable to rest or go to bed: there was a brooding threat in the breathless night-air."
4,"As he stared out into the gloom, a black shadow moved under the trees; the gate seemed to open of its own accord and close again without a sound."
5,Terror seized him.
6,"He shrank back, and for a moment he stood trembling in the hall."
7,Then he shut and locked the door.
8,The night deepened.
9,There came the soft sound of horses led with stealth along the lane.
10,"Outside the gate they stopped, and three black figures entered, like shades of night creeping across the ground."
11,"One went to the door, one to the corner of the house on either side; and there they stood, as still as the shadows of stones, while night went slowly on."
12,The house and the quiet trees seemed to be waiting breathlessly.
13,"There was a faint stir in the leaves, and a cock crowed far away."
14,The cold hour before dawn was passing.
15,The figure by the door moved.
16,"In the dark without moon or stars a drawn blade gleamed, as if a chill light had been unsheathed."
17,"There was a blow, soft but heavy, and the door shuddered."
18,"'Open, in the name of Mordor!'"
19,said a voice thin and menacing.
20,"At a second blow the door yielded and fell back, with timbers burst and lock broken."
21,The black figures passed swiftly in.
22,"At that moment, among the trees nearby, a horn rang out."
23,It rent the night like fire on a hill-top.
24,AWAKE!
25,FEAR!
26,FIRE!
27,FOES!
28,AWAKE!
29,Fatty Bolger had not been idle.
30,"As soon as he saw the dark shapes creep from the garden, he knew that he must run for it, or perish."
31,"And run he did, out of the back door, through the garden, and over the fields."
32,"When he reached the nearest house, more than a mile away, he collapsed on the doorstep."
33,"'No, no, no!'"
34,he was crying.
35,"'No, not me!"
36,I haven't got it!'
37,It was some time before anyone could make out what he was babbling about.
38,"At last they got the idea that enemies were in Buckland, some strange invasion from the Old Forest."
39,And then they lost no more time.
40,FEAR!
41,FIRE!
42,FOES!
43,"The Brandybucks were blowing the Horn-call of Buckland, that had not been sounded for a hundred years, not since the white wolves came in the Fell Winter, when the Brandywine was frozen over."
44,AWAKE!
45,AWAKE!
46,Far-away answering horns were heard.
47,The alarm was spreading.
48,The black figures fled from the house.
