sentence_id,sentence
0,"_
            The Ring Goes South

     Later that day the hobbits held a meeting of their own in Bilbo's room."
1,"Merry and Pippin were indignant when they heard that Sam had crept into the Council, and had been chosen as Frodo's companion."
2,"`It's most unfair,' said Pippin."
3,"`Instead of throwing him out, and clapping him in chains, Elrond goes and rewards him for his cheek!'"
4,`Rewards!'
5,said Frodo.
6,'I can't imagine a more severe punishment.
7,"You are not thinking what you are saying: condemned to go on this hopeless journey, a reward?"
8,"Yesterday I dreamed that my task was done, and I could rest here, a long while, perhaps for good.'"
9,"'I don't wonder,' said Merry, 'and I wish you could."
10,"But we are envying Sam, not you."
11,"If you have to go, then it will be a punishment for any of us to be left behind, even in Rivendell."
12,We have come a long way with you and been through some stiff times.
13,We want to go on.'
14,"`That's what I meant,' said Pippin."
15,"`We hobbits ought to stick together, and we will."
16,"I shall go, unless they chain me up."
17,There must be someone with intelligence in the party.'
18,"'Then you certainly will not be chosen, Peregrin Took!'"
19,"said Gandalf, looking in through the window, which was near the ground."
20,`But you are all worrying yourselves unnecessarily.
21,Nothing is decided yet.'
22,`Nothing decided!'
23,cried Pippin.
24,'Then what were you all doing?
25,You were shut up for hours.'
26,"""Talking,' said Bilbo."
27,"`There was a deal of talk, and everyone had an eye-opener."
28,Even old Gandalf.
29,"I think Legolas's bit of news about Gollum caught even him on the hop, though he passed it off.'"
30,"`You were wrong,' said Gandalf."
31,'You were inattentive.
32,I had already heard of it from Gwaihir.
33,"If you want to know, the only real eye-openers, as you put it, were you and Frodo; and I was the only one that was not surprised.'"
34,"`Well, anyway,' said Bilbo, 'nothing was decided beyond choosing poor Frodo and Sam."
35,"I was afraid all the time that it might come to that, if I was let off."
36,"But if you ask me, Elrond will send out a fair number, when the reports come in."
37,"Have they started yet, Gandalf?'"
38,"'Yes,' said the wizard."
39,`Some of the scouts have been sent out already.
40,More will go tomorrow.
41,"Elrond is sending Elves, and they will get in touch with the Rangers, and maybe with Thranduil's folk in Mirkwood."
