sentence_id,sentence
0,"_
            Three is Company

     'You ought to go quietly, and you ought to go soon,' said Gandalf."
1,"Two or three weeks had passed, and still Frodo made no sign of getting ready to go."
2,'I know.
3,"But it is difficult to do both,' he objected."
4,"If I just vanish like Bilbo, the tale will be all over the Shire in no time.'"
5,'Of course you mustn't vanish!'
6,said Gandalf.
7,'That wouldn't do at all!
8,"I said _soon,_ not _instantly._ If you can think of any way of slipping out of the Shire without its being generally known, it will be worth a little delay."
9,But you must not delay too long.'
10,"'What about the autumn, on or after Our Birthday?'"
11,asked Frodo.
12,'I think I could probably make some arrangements by then.'
13,"To tell the truth, he was very reluctant to start, now that it had come to the point."
14,"Bag End seemed a more desirable residence than it had for years, and he wanted to savour as much as he could of his last summer in the Shire."
15,"When autumn came, he knew that part at least of his heart would think more kindly of journeying, as it always did at that season."
16,He had indeed privately made up his mind to leave on his fiftieth birthday: Bilbo's one hundred and twenty-eighth.
17,It seemed somehow the proper day on which to set out and follow him.
18,"Following Bilbo was uppermost in his mind, and the one thing that made the thought of leaving bearable."
19,"He thought as little as possible about the Ring, and where it might lead him in the end."
20,But he did not tell all his thoughts to Gandalf.
21,What the wizard guessed was always difficult to tell.
22,He looked at Frodo and smiled.
23,"'Very well,' he said."
24,'I think that will do  but it must not be any later.
25,I am getting very anxious.
26,"In the mean-while, do take care, and don't let out any hint of where you are going!"
27,And see that Sam Gamgee does not talk.
28,"If he does, I really shall turn him into a toad.'"
29,"'As for _where I_ am going,' said Frodo, 'it would be difficult to give that away, for I have no clear idea myself, yet.'"
30,'Don't be absurd!'
31,said Gandalf.
32,'I am not warning you against leaving an address at the post-office!
33,"But you are leaving the Shire  and that should not be known, until you are far away."
34,"And you must go, or at least set out, either North, South, West or East  and the direction should certainly not be known.'"
35,"'I have been so taken up with the thoughts of leaving Bag End, and of saying farewell, that I have never even considered the direction,' said Frodo."
36,'For where am I to go?
37,And by what shall I steer?
38,What is to be my quest?
39,"Bilbo went to find a treasure, there and back again; but I go to lose one, and not return, as far as I can see.'"
40,"'But you cannot see very far,' said Gandalf."
41,'Neither can I.
42,It may be your task to find the Cracks of Doom; but that quest may be for others: I do not know.
43,At any rate you are not ready for that long road yet.'
44,'No indeed!'
45,said Frodo.
46,'But in the meantime what course am I to lake?'
47,"'Towards danger; but not too rashly, nor too straight,' answered the wizard."
48,"'If you want my advice, make for Rivendell."
49,"That journey should not prove too perilous, though the Road is less easy than it was, and it will grow worse as the year fails.'"
50,'Rivendell!'
51,said Frodo.
52,"'Very good: I will go east, and I will make for Rivendell."
53,I will take Sam to visit the Elves; he will be delighted.'
54,"He spoke lightly; but his heart was moved suddenly with a desire to see the house of Elrond Halfelven, and breathe the air of that deep valley where many of the Fair Folk still dwelt in peace."
55,"One summer's evening an astonishing piece of news reached the _Ivy Bush_ and _Green Dragon._ Giants and other portents on the borders of the Shire were forgotten for more important matters: Mr. Frodo was selling Bag End, indeed he had already sold it  to the Sackville-Bagginses!"
56,"'For a nice bit, loo,' said some."
57,"'At a bargain price,' said others, 'and that's more likely when Mistress Lobelia's the buyer.'"
58,"(Otho had died some years before, at the ripe but disappointed age of 102.)"
59,Just why Mr. Frodo was selling his beautiful hole was even more debatable than the price.
60,A few held the theory  supported by the nods and hints of Mr. Baggins himself  that Frodo's money was running out: he was going to leave Hobbiton and live in a quiet way on the proceeds of the sale down in Buckland among his Brandybuck relations.
61,"'As far from the Sackville-Bagginses as may be,' some added."
62,"But so firmly fixed had the notion of the immeasurable wealth of the Bagginses of Bag End become that most found this hard to believe, harder than any other reason or unreason that their fancy could suggest: to most it suggested a dark and yet unrevealed plot by Gandalf."
63,"Though he kept himself very quiet and did not go about by day, it was well known that he was 'hiding up in the Bag End'."
64,"But however a removal might fit in with the designs of his wizardry, there was no doubt about the fact: Frodo Baggins was going back to Buckland."
65,"'Yes, I shall be moving this autumn,' he said."
66,"'Merry Brandybuck is looking out for a nice little hole for me, or perhaps a small house.'"
67,As a matter of fact with Merry's help he had already chosen and bought a little house at Crickhollow in the country beyond Bucklebury.
68,To all but Sam he pretended he was going to settle down there permanently.
69,"The decision to set out eastwards had suggested the idea to him; for Buckland was on the eastern borders of the Shire, and as he had lived there in childhood his going back would at least seem credible."
70,Gandalf stayed in the Shire for over two months.
71,"Then one evening, at the end of June, soon after Frodo's plan had been finally arranged, he suddenly announced that he was going off again next morning."
72,"'Only for a short while, I hope,' he said."
73,"'But I am going down beyond the southern borders to get some news, if I can."
74,I have been idle longer than I should.'
75,"He spoke lightly, but it seemed to Frodo that he looked rather worried."
76,'Has anything happened?'
77,he asked.
78,'Well no; but I have heard something that has made me anxious and needs looking into.
79,"If I think it necessary after all for you to get off at once, I shall come back immediately, or at least send word."
80,"In the meanwhile stick to your plan; but be more careful than ever, especially of the Ring."
81,Let me impress on you once more: _don't use it!
82,"'_
     He went off at dawn."
83,"'I may be back any day,' he said."
84,'At the very latest I shall come back for the farewell party.
85,I think after all you may need my company on the Road.'
86,"At first Frodo was a good deal disturbed, and wondered often what Gandalf could have heard; but his uneasiness wore off, and in the fine weather he forgot his troubles for a while."
87,"The Shire had seldom seen so fair a summer, or so rich an autumn: the trees were laden with apples, honey was dripping in the combs, and the corn was tall and full."
88,Autumn was well under way before Frodo began to worry about Gandalf again.
89,September was passing and there was still no news of him.
90,"The Birthday, and the removal, drew nearer, and still he did not come, or send word."
91,Bag End began to be busy.
92,"Some of Frodo's friends came to stay and help him with the packing: there was Fredegar Bolger and Folco Boffin, and of course his special friends Pippin Took and Merry Brandybuck."
93,Between them they turned the whole place upside-down.
94,"On September 20th two covered carts went off laden to Buckland, conveying the furniture and goods that Frodo had not sold to his new home, by way of the Brandywine Bridge."
95,"The next day Frodo became really anxious, and kept a constant look-out for Gandalf."
96,"Thursday, his birthday morning, dawned as fair and clear as it had long ago for Bilbo's great party."
97,Still Gandalf did not appear.
98,"In the evening Frodo gave his farewell feast: it was quite small, just a dinner for himself and his four helpers; but he was troubled and fell in no mood for it."
99,The thought that he would so soon have to part with his young friends weighed on his heart.
100,He wondered how he would break it to them.
101,"The four younger hobbits were, however, in high spirits, and the party soon became very cheerful in spite of Gandalf's absence."
102,"The dining-room was bare except for a table and chairs, but the food was good, and there was good wine: Frodo's wine had not been included in the sale to the Sackville-Bagginses."
103,"'Whatever happens to the rest of my stuff, when the S.-B.s get their claws on it, at any rate I have found a good home for this!'"
104,"said Frodo, as he drained his glass."
105,It was the last drop of Old Winyards.
106,"When they had sung many songs, and talked of many things they had done together, they toasted Bilbo's birthday, and they drank his health and Frodo's together according to Frodo's custom."
107,"Then they went out for a sniff of air, and glimpse of the stars, and then they went to bed."
108,"Frodo's party was over, and Gandalf had not come."
109,The next morning they were busy packing another cart with the remainder of the luggage.
110,"Merry took charge of this, and drove off with Fatty (that is Fredegar Bolger)."
111,"'Someone must get there and warm the house before you arrive,' said Merry."
112,"'Well, see you later  the day after tomorrow, if you don't go to sleep on the way!'"
113,"Folco went home after lunch, but Pippin remained behind."
114,"Frodo was restless and anxious, listening in vain for a sound of Gandalf."
115,He decided to wait until nightfall.
116,"After that, if Gandalf wanted him urgently, he would go to Crickhollow, and might even get there first."
117,For Frodo was going on foot.
118,"His plan  for pleasure and a last look at the Shire as much as any other reason  was to walk from Hobbiton to Bucklebury Ferry, taking it fairly easy."
119,"'I shall get myself a bit into training, too,' he said, looking at himself in a dusty mirror in the half-empty hall."
120,"He had not done any strenuous walking for a long time, and the reflection looked rather flabby, he thought."
121,"After lunch, the Sackville-Bagginses, Lobelia and her sandy-haired son, Lotho, turned up, much to Frodo's annoyance."
122,'Ours at last!'
123,"said Lobelia, as she stepped inside."
124,"It was not polite; nor strictly true, for the sale of Bag End did not take effect until midnight."
125,"But Lobelia can perhaps be forgiven: she had been obliged to wait about seventy-seven years longer for Bag End than she once hoped, and she was now a hundred years old."
126,"Anyway, she had come to see that nothing she had paid for had been carried off; and she wanted the keys."
127,"It took a long while to satisfy her, as she had brought a complete inventory with her and went right through it."
128,In the end she departed with Lotho and the spare key and the promise that the other key would be left at the Gamgees' in Bagshot Row.
129,"She snorted, and showed plainly that she thought the Gamgees capable of plundering the hole during the night."
130,Frodo did not offer her any tea.
131,He took his own tea with Pippin and Sam Gamgee in the kitchen.
132,"It had been officially announced that Sam was coming to Buckland 'to do for Mr. Frodo and look after his bit of garden'; an arrangement that was approved by the Gaffer, though it did not console him for the prospect of having Lobelia as a neighbour."
133,'Our last meal at Bag End!'
134,"said Frodo, pushing back his chair."
135,They left the washing up for Lobelia.
136,Pippin and Sam strapped up their three packs and piled them in the porch.
137,Pippin went out for a last stroll in the garden.
138,Sam disappeared.
139,The sun went down.
140,Bag End seemed sad and gloomy and dishevelled.
141,"Frodo wandered round the familiar rooms, and saw the light of the sunset fade on the walls, and shadows creep out of the corners."
142,It grew slowly dark indoors.
143,"He went out and walked down to the gate at the bottom of the path, and then on a short way down the Hill Road."
144,He half expected to see Gandalf come striding up through the dusk.
145,The sky was clear and the stars were growing bright.
146,"'It's going to be a fine night,' he said aloud."
147,'That's good for a beginning.
148,I feel like walking.
149,I can't bear any more hanging about.
150,"I am going to start, and Gandalf must follow me.'"
151,"He turned to go back, and then slopped, for he heard voices, just round the corner by the end of Bagshot Row."
152,"One voice was certainly the old Gaffer's; the other was strange, and somehow unpleasant."
153,"He could not make out what it said, but he heard the Gaffer's answers, which were rather shrill."
154,The old man seemed put out.
155,"'No, Mr. Baggins has gone away."
156,"Went this morning, and my Sam went with him: anyway all his stuff went."
157,"Yes, sold out and gone, I tell'ee."
158,Why?
159,"Why's none of my business, or yours."
160,Where to?
161,That ain't no secret.
162,"He's moved to Bucklebury or some such place, away down yonder."
163,Yes it is  a tidy way.
164,I've never been so far myself; they're queer folks in Buckland.
165,"No, I can't give no message."
166,Good night to you!'
167,Footsteps went away down the Hill.
168,Frodo wondered vaguely why the fact that they did not come on up the Hill seemed a great relief.
169,"'I am sick of questions and curiosity about my doings, I suppose,' he thought."
170,'What an inquisitive lot they all are!'
171,"He had half a mind to go and ask the Gaffer who the inquirer was; but he thought better (or worse) of it, and turned and walked quickly back to Bag End."
172,Pippin was sitting on his pack in the porch.
173,Sam was not there.
174,Frodo stepped inside the dark door.
175,'Sam!'
176,he called.
177,'Sam!
178,Time!'
179,"'Coming, sir!'"
180,"came the answer from far within, followed soon by Sam himself, wiping his mouth."
181,He had been saying farewell to the beer-barrel in the cellar.
182,"'All aboard, Sam?'"
183,said Frodo.
184,"'Yes, sir."
